feedback_id,client_id,date_feedback,agence,motif_visite,avec_rendez_vous,temps_attente,note_globale,note_accueil,note_competence_conseiller,note_proprete_locaux,note_accessibilite,reviendrait,commentaire
AGENCE-00166,CLI-27746,2025-05-19,Ettelbruck,Souscription nouveau contrat,Oui,5-10 min,5,5,5,5,5,Oui,Agence bien située et accueillante
AGENCE-00167,CLI-22464,2025-07-19,Grevenmacher,Paiement,Oui,15-30 min,3,3,4,2,2,Peut-être,Parking difficile
AGENCE-00168,CLI-30650,2025-08-30,Esch-sur-Alzette,Déclaration sinistre,Non,> 30 min,2,2,3,1,2,Non,Conseiller pressé
AGENCE-00169,CLI-82928,2025-05-20,Differdange,Déclaration sinistre,Oui,10-15 min,4,3,4,3,4,Oui,Accueil chaleureux
AGENCE-00170,CLI-40441,2025-09-19,Differdange,Question/conseil,Non,10-15 min,4,4,4,3,3,Oui,Personnel compétent et à l'écoute
AGENCE-00171,CLI-65154,2025-09-09,Ettelbruck,Déclaration sinistre,Oui,> 30 min,4,5,3,4,4,Oui,Accueil chaleureux
AGENCE-00172,CLI-29929,2025-07-28,Luxembourg-Gare,Réclamation,Oui,10-15 min,4,4,4,3,4,Oui,Accueil chaleureux
AGENCE-00173,CLI-95254,2025-07-15,Luxembourg-Centre,Retrait de documents,Non,15-30 min,5,5,5,5,5,Oui,Accueil chaleureux
AGENCE-00174,CLI-84596,2025-09-26,Luxembourg-Gare,Résiliation,Non,> 30 min,4,4,3,3,3,Oui,"Pas d'attente, service rapide"
AGENCE-00175,CLI-91076,2025-05-26,Differdange,Modification de contrat,Non,> 30 min,4,3,3,4,4,Oui,Conseiller très professionnel
AGENCE-00176,CLI-52090,2025-09-05,Wiltz,Réclamation,Oui,10-15 min,5,5,5,5,4,Oui,Accueil chaleureux
AGENCE-00177,CLI-46340,2025-09-09,Wiltz,Rendez-vous conseiller,Oui,> 30 min,1,1,1,1,1,Non,Horaires d'ouverture contraignants
AGENCE-00178,CLI-16335,2025-07-21,Differdange,Déclaration sinistre,Oui,5-10 min,4,4,3,4,3,Oui,Agence bien située et accueillante
AGENCE-00179,CLI-19736,2025-10-09,Luxembourg-Centre,Réclamation,Oui,10-15 min,5,5,5,5,5,Oui,"Pas d'attente, service rapide"
AGENCE-00180,CLI-10422,2025-05-01,Wiltz,Demande d'information,Non,5-10 min,2,3,3,1,1,Non,"Agence trop petite, manque de place"
AGENCE-00181,CLI-34661,2025-10-09,Wiltz,Réclamation,Non,10-15 min,5,5,5,4,5,Oui,Agence bien située et accueillante
AGENCE-00182,CLI-58847,2025-09-30,Luxembourg-Centre,Demande d'information,Non,5-10 min,4,4,3,3,4,Oui,Conseiller très professionnel
AGENCE-00183,CLI-88320,2025-05-19,Grevenmacher,Résiliation,Non,15-30 min,5,5,5,5,4,Oui,Accueil chaleureux
AGENCE-00184,CLI-79694,2025-06-22,Wiltz,Demande d'information,Non,10-15 min,3,2,3,3,2,Peut-être,Conseiller pressé
AGENCE-00185,CLI-81841,2025-04-25,Diekirch,Réclamation,Oui,> 30 min,5,5,5,5,5,Oui,Conseiller très professionnel
AGENCE-00186,CLI-32287,2025-09-16,Luxembourg-Gare,Rendez-vous conseiller,Oui,< 5 min,5,5,5,5,5,Oui,"Pas d'attente, service rapide"
AGENCE-00187,CLI-63899,2025-09-21,Dudelange,Modification de contrat,Oui,15-30 min,4,5,4,4,4,Oui,Accueil chaleureux
AGENCE-00188,CLI-81854,2025-09-03,Dudelange,Résiliation,Oui,15-30 min,1,1,1,1,1,Non,Temps d'attente excessif
AGENCE-00189,CLI-21987,2025-04-23,Dudelange,Modification de contrat,Non,15-30 min,5,5,4,5,5,Oui,Personnel compétent et à l'écoute
AGENCE-00190,CLI-86147,2025-05-23,Diekirch,Demande d'information,Non,10-15 min,4,5,4,3,3,Oui,"Pas d'attente, service rapide"
AGENCE-00191,CLI-80674,2025-06-02,Ettelbruck,Déclaration sinistre,Non,10-15 min,3,3,2,2,2,Peut-être,Temps d'attente excessif
AGENCE-00192,CLI-82894,2025-08-14,Wiltz,Déclaration sinistre,Non,< 5 min,4,5,3,4,3,Oui,Agence bien située et accueillante
AGENCE-00193,CLI-49465,2025-05-08,Differdange,Rendez-vous conseiller,Non,> 30 min,5,4,4,4,5,Oui,Personnel compétent et à l'écoute
AGENCE-00194,CLI-92700,2025-07-01,Esch-sur-Alzette,Question/conseil,Non,> 30 min,4,5,3,3,3,Oui,Conseiller très professionnel
AGENCE-00195,CLI-68897,2025-08-20,Diekirch,Question/conseil,Oui,5-10 min,5,5,5,5,4,Oui,Agence bien située et accueillante
AGENCE-00196,CLI-17134,2025-09-16,Wiltz,Réclamation,Non,> 30 min,3,2,4,2,2,Peut-être,Parking difficile
AGENCE-00197,CLI-14479,2025-06-19,Wiltz,Demande d'information,Oui,15-30 min,5,4,4,4,5,Oui,Agence bien située et accueillante
AGENCE-00198,CLI-97666,2025-07-29,Luxembourg-Centre,Paiement,Oui,5-10 min,4,4,4,3,3,Oui,Personnel compétent et à l'écoute
AGENCE-00199,CLI-48152,2025-07-11,Dudelange,Souscription nouveau contrat,Oui,15-30 min,2,3,2,2,1,Non,"Agence trop petite, manque de place"
AGENCE-00200,CLI-27896,2025-08-03,Remich,Modification de contrat,Non,5-10 min,5,5,4,5,4,Oui,Agence bien située et accueillante
AGENCE-00201,CLI-94036,2025-09-24,Esch-sur-Alzette,Déclaration sinistre,Non,10-15 min,4,4,4,3,4,Oui,Accueil chaleureux
AGENCE-00202,CLI-28579,2025-06-05,Luxembourg-Gare,Question/conseil,Oui,10-15 min,4,5,5,4,3,Oui,Conseiller très professionnel
AGENCE-00203,CLI-86984,2025-04-26,Remich,Paiement,Non,15-30 min,4,5,3,3,3,Oui,"Pas d'attente, service rapide"
AGENCE-00204,CLI-42759,2025-06-25,Luxembourg-Centre,Souscription nouveau contrat,Oui,5-10 min,4,5,5,3,4,Oui,"Pas d'attente, service rapide"
AGENCE-00205,CLI-57317,2025-09-10,Grevenmacher,Retrait de documents,Oui,10-15 min,5,5,5,5,4,Oui,Personnel compétent et à l'écoute
AGENCE-00206,CLI-97644,2025-04-25,Ettelbruck,Paiement,Non,< 5 min,4,3,3,3,3,Oui,Agence bien située et accueillante
AGENCE-00207,CLI-18493,2025-05-15,Dudelange,Déclaration sinistre,Oui,15-30 min,4,5,3,4,3,Oui,Agence bien située et accueillante
AGENCE-00208,CLI-25693,2025-05-15,Wiltz,Déclaration sinistre,Non,10-15 min,3,3,2,3,3,Peut-être,"Agence trop petite, manque de place"
AGENCE-00209,CLI-17295,2025-06-20,Diekirch,Paiement,Oui,< 5 min,4,3,5,3,3,Oui,Conseiller très professionnel
AGENCE-00210,CLI-27315,2025-08-19,Esch-sur-Alzette,Rendez-vous conseiller,Oui,10-15 min,5,5,4,4,5,Oui,Accueil chaleureux
AGENCE-00211,CLI-91034,2025-08-05,Luxembourg-Centre,Question/conseil,Non,5-10 min,4,5,4,4,4,Oui,Conseiller très professionnel
AGENCE-00212,CLI-98199,2025-07-17,Grevenmacher,Déclaration sinistre,Oui,> 30 min,3,4,2,2,2,Peut-être,Temps d'attente excessif
AGENCE-00213,CLI-72815,2025-09-27,Remich,Question/conseil,Oui,10-15 min,4,5,4,3,3,Oui,"Pas d'attente, service rapide"
AGENCE-00214,CLI-24547,2025-07-06,Dudelange,Déclaration sinistre,Oui,< 5 min,4,3,3,3,4,Oui,Agence bien située et accueillante
AGENCE-00215,CLI-98672,2025-10-15,Esch-sur-Alzette,Retrait de documents,Oui,< 5 min,4,4,4,3,3,Oui,Agence bien située et accueillante
AGENCE-00216,CLI-50706,2025-06-07,Dudelange,Demande d'information,Oui,10-15 min,4,4,3,3,3,Oui,Accueil chaleureux
AGENCE-00217,CLI-50979,2025-06-17,Wiltz,Question/conseil,Oui,15-30 min,4,3,3,3,3,Oui,Conseiller très professionnel
AGENCE-00218,CLI-32059,2025-06-06,Grevenmacher,Demande d'information,Non,10-15 min,4,3,3,4,3,Oui,Conseiller très professionnel
AGENCE-00219,CLI-17355,2025-06-13,Remich,Modification de contrat,Non,> 30 min,3,4,3,2,2,Peut-être,Horaires d'ouverture contraignants
AGENCE-00220,CLI-48707,2025-10-15,Differdange,Demande d'information,Non,5-10 min,4,3,4,3,3,Oui,Conseiller très professionnel
AGENCE-00221,CLI-82948,2025-07-07,Esch-sur-Alzette,Paiement,Non,15-30 min,2,1,1,2,2,Non,Temps d'attente excessif
AGENCE-00222,CLI-26361,2025-09-15,Dudelange,Retrait de documents,Non,15-30 min,5,5,5,5,4,Oui,Agence bien située et accueillante
AGENCE-00223,CLI-73734,2025-07-27,Esch-sur-Alzette,Rendez-vous conseiller,Non,10-15 min,5,5,5,5,5,Oui,Accueil chaleureux
AGENCE-00224,CLI-64658,2025-08-14,Wiltz,Demande d'information,Oui,15-30 min,3,2,3,2,2,Peut-être,"Agence trop petite, manque de place"
AGENCE-00225,CLI-26858,2025-08-08,Ettelbruck,Déclaration sinistre,Oui,10-15 min,5,5,4,4,4,Oui,Accueil chaleureux
AGENCE-00226,CLI-78693,2025-06-18,Wiltz,Résiliation,Oui,> 30 min,5,4,4,5,4,Oui,"Pas d'attente, service rapide"
AGENCE-00227,CLI-13950,2025-09-03,Diekirch,Modification de contrat,Oui,> 30 min,4,3,3,4,4,Oui,Agence bien située et accueillante
AGENCE-00228,CLI-38433,2025-08-30,Remich,Déclaration sinistre,Non,> 30 min,3,2,2,2,2,Peut-être,Conseiller pressé
AGENCE-00229,CLI-80465,2025-08-21,Diekirch,Retrait de documents,Non,10-15 min,5,4,4,4,4,Oui,Accueil chaleureux
AGENCE-00230,CLI-58054,2025-05-25,Ettelbruck,Réclamation,Oui,< 5 min,3,3,2,3,2,Peut-être,Parking difficile
AGENCE-00231,CLI-25140,2025-06-05,Ettelbruck,Paiement,Non,15-30 min,5,5,4,4,5,Oui,Accueil chaleureux
AGENCE-00232,CLI-14445,2025-06-18,Dudelange,Rendez-vous conseiller,Oui,15-30 min,5,5,5,5,4,Oui,Accueil chaleureux
AGENCE-00233,CLI-69295,2025-07-29,Luxembourg-Centre,Question/conseil,Non,< 5 min,4,3,4,3,3,Oui,Conseiller très professionnel
AGENCE-00234,CLI-99180,2025-06-28,Esch-sur-Alzette,Souscription nouveau contrat,Non,> 30 min,5,5,5,4,4,Oui,Agence bien située et accueillante
AGENCE-00235,CLI-40069,2025-05-21,Luxembourg-Gare,Réclamation,Oui,5-10 min,2,3,1,2,1,Non,Conseiller pressé
AGENCE-00236,CLI-74854,2025-06-05,Luxembourg-Gare,Paiement,Oui,10-15 min,5,4,4,4,5,Oui,Conseiller très professionnel
AGENCE-00237,CLI-75379,2025-07-27,Luxembourg-Centre,Déclaration sinistre,Oui,10-15 min,2,1,3,2,1,Non,"Agence trop petite, manque de place"
AGENCE-00238,CLI-20824,2025-10-06,Remich,Demande d'information,Non,5-10 min,2,2,2,1,1,Non,Horaires d'ouverture contraignants
AGENCE-00239,CLI-77059,2025-08-02,Diekirch,Déclaration sinistre,Oui,15-30 min,4,5,4,4,4,Oui,Personnel compétent et à l'écoute
AGENCE-00240,CLI-66240,2025-05-16,Differdange,Réclamation,Non,10-15 min,4,5,3,4,3,Oui,Accueil chaleureux
AGENCE-00241,CLI-63892,2025-08-31,Luxembourg-Gare,Modification de contrat,Non,< 5 min,2,2,3,1,1,Non,"Agence trop petite, manque de place"
AGENCE-00242,CLI-26427,2025-07-26,Esch-sur-Alzette,Réclamation,Oui,10-15 min,4,5,4,4,4,Oui,Conseiller très professionnel
AGENCE-00243,CLI-32380,2025-10-01,Luxembourg-Centre,Déclaration sinistre,Oui,> 30 min,3,3,3,3,2,Peut-être,Conseiller pressé
AGENCE-00244,CLI-81780,2025-08-04,Ettelbruck,Question/conseil,Non,10-15 min,3,2,2,2,2,Peut-être,Conseiller pressé
AGENCE-00245,CLI-66526,2025-05-07,Ettelbruck,Souscription nouveau contrat,Non,10-15 min,5,5,5,4,5,Oui,Personnel compétent et à l'écoute
AGENCE-00246,CLI-55630,2025-07-29,Ettelbruck,Question/conseil,Oui,15-30 min,5,5,4,4,4,Oui,Personnel compétent et à l'écoute
AGENCE-00247,CLI-22980,2025-09-24,Diekirch,Rendez-vous conseiller,Non,10-15 min,3,2,4,3,3,Peut-être,Parking difficile
AGENCE-00248,CLI-62459,2025-06-20,Grevenmacher,Question/conseil,Non,5-10 min,3,2,2,3,2,Peut-être,Temps d'attente excessif
AGENCE-00249,CLI-57478,2025-07-12,Dudelange,Souscription nouveau contrat,Non,< 5 min,2,3,3,1,2,Non,Horaires d'ouverture contraignants
AGENCE-00250,CLI-96189,2025-07-07,Diekirch,Souscription nouveau contrat,Oui,10-15 min,3,2,3,2,3,Peut-être,"Agence trop petite, manque de place"
AGENCE-00251,CLI-89956,2025-07-21,Luxembourg-Centre,Réclamation,Non,15-30 min,1,1,2,1,1,Non,Temps d'attente excessif
AGENCE-00252,CLI-94665,2025-04-24,Remich,Modification de contrat,Non,5-10 min,5,5,5,4,5,Oui,Agence bien située et accueillante
AGENCE-00253,CLI-29184,2025-04-30,Luxembourg-Gare,Demande d'information,Non,10-15 min,5,5,5,4,5,Oui,Personnel compétent et à l'écoute
AGENCE-00254,CLI-98640,2025-09-29,Wiltz,Résiliation,Oui,10-15 min,5,4,4,5,5,Oui,Personnel compétent et à l'écoute
AGENCE-00255,CLI-98976,2025-06-02,Luxembourg-Centre,Modification de contrat,Oui,> 30 min,1,1,1,1,1,Non,Temps d'attente excessif
AGENCE-00256,CLI-94124,2025-10-03,Remich,Rendez-vous conseiller,Oui,10-15 min,4,5,3,3,3,Oui,"Pas d'attente, service rapide"
AGENCE-00257,CLI-78135,2025-07-08,Remich,Réclamation,Oui,5-10 min,4,4,5,3,3,Oui,Personnel compétent et à l'écoute
AGENCE-00258,CLI-15866,2025-08-20,Esch-sur-Alzette,Rendez-vous conseiller,Non,< 5 min,4,4,4,4,3,Oui,Agence bien située et accueillante
AGENCE-00259,CLI-68298,2025-10-05,Luxembourg-Gare,Résiliation,Non,5-10 min,5,5,4,4,5,Oui,Agence bien située et accueillante
AGENCE-00260,CLI-85849,2025-06-16,Wiltz,Rendez-vous conseiller,Oui,> 30 min,5,5,4,4,5,Oui,Accueil chaleureux
AGENCE-00261,CLI-25537,2025-08-08,Ettelbruck,Retrait de documents,Oui,> 30 min,2,1,3,1,1,Non,Parking difficile
AGENCE-00262,CLI-79577,2025-05-23,Remich,Rendez-vous conseiller,Oui,> 30 min,5,4,4,4,4,Oui,Personnel compétent et à l'écoute
AGENCE-00263,CLI-82084,2025-05-27,Luxembourg-Gare,Demande d'information,Oui,5-10 min,4,4,5,4,3,Oui,Personnel compétent et à l'écoute
AGENCE-00264,CLI-69152,2025-06-10,Ettelbruck,Question/conseil,Oui,10-15 min,4,3,3,4,4,Oui,Personnel compétent et à l'écoute
AGENCE-00265,CLI-39326,2025-05-22,Differdange,Retrait de documents,Oui,> 30 min,4,5,4,4,3,Oui,Agence bien située et accueillante
AGENCE-00266,CLI-85610,2025-06-10,Diekirch,Rendez-vous conseiller,Oui,10-15 min,3,3,4,2,3,Peut-être,Horaires d'ouverture contraignants
AGENCE-00267,CLI-31292,2025-08-29,Luxembourg-Centre,Question/conseil,Non,> 30 min,4,5,5,3,3,Oui,Personnel compétent et à l'écoute
AGENCE-00268,CLI-99791,2025-07-04,Diekirch,Retrait de documents,Oui,< 5 min,3,4,4,2,2,Peut-être,Parking difficile
AGENCE-00269,CLI-33702,2025-09-11,Diekirch,Rendez-vous conseiller,Non,5-10 min,4,4,4,3,4,Oui,Accueil chaleureux
AGENCE-00270,CLI-93295,2025-07-07,Ettelbruck,Paiement,Oui,> 30 min,5,4,5,4,5,Oui,Agence bien située et accueillante
AGENCE-00271,CLI-59660,2025-05-06,Differdange,Rendez-vous conseiller,Non,15-30 min,1,1,1,1,1,Non,"Agence trop petite, manque de place"
AGENCE-00272,CLI-98267,2025-07-21,Diekirch,Résiliation,Oui,10-15 min,5,4,5,5,4,Oui,Personnel compétent et à l'écoute
AGENCE-00273,CLI-35042,2025-07-15,Esch-sur-Alzette,Demande d'information,Non,5-10 min,3,4,3,3,2,Peut-être,Conseiller pressé
AGENCE-00274,CLI-44932,2025-08-30,Remich,Réclamation,Oui,> 30 min,4,5,3,3,3,Oui,Agence bien située et accueillante
AGENCE-00275,CLI-80417,2025-05-15,Remich,Retrait de documents,Non,< 5 min,2,2,2,2,2,Non,Temps d'attente excessif
AGENCE-00276,CLI-59973,2025-09-07,Luxembourg-Gare,Résiliation,Non,15-30 min,5,4,5,5,4,Oui,Agence bien située et accueillante
AGENCE-00277,CLI-48384,2025-07-19,Diekirch,Paiement,Non,< 5 min,5,5,5,4,5,Oui,Conseiller très professionnel
AGENCE-00278,CLI-62559,2025-06-14,Wiltz,Résiliation,Oui,5-10 min,5,5,4,4,4,Oui,Conseiller très professionnel
AGENCE-00279,CLI-62476,2025-05-09,Wiltz,Déclaration sinistre,Oui,15-30 min,1,1,1,1,1,Non,"Agence trop petite, manque de place"
AGENCE-00280,CLI-39587,2025-04-22,Wiltz,Demande d'information,Oui,10-15 min,4,5,4,4,4,Oui,Conseiller très professionnel
AGENCE-00281,CLI-47157,2025-06-18,Dudelange,Réclamation,Non,< 5 min,4,4,4,4,3,Oui,Agence bien située et accueillante
AGENCE-00282,CLI-71261,2025-07-18,Remich,Modification de contrat,Non,5-10 min,4,5,4,4,3,Oui,Personnel compétent et à l'écoute
AGENCE-00283,CLI-67808,2025-06-25,Ettelbruck,Souscription nouveau contrat,Non,10-15 min,5,4,5,4,4,Oui,"Pas d'attente, service rapide"
AGENCE-00284,CLI-13744,2025-06-05,Differdange,Paiement,Non,10-15 min,3,2,2,3,2,Peut-être,Parking difficile
AGENCE-00285,CLI-40177,2025-09-29,Dudelange,Rendez-vous conseiller,Non,5-10 min,4,3,3,3,4,Oui,Agence bien située et accueillante
AGENCE-00286,CLI-83840,2025-08-06,Luxembourg-Gare,Retrait de documents,Oui,10-15 min,5,5,4,4,4,Oui,Conseiller très professionnel
AGENCE-00287,CLI-50609,2025-08-12,Wiltz,Déclaration sinistre,Non,15-30 min,5,5,4,5,5,Oui,Agence bien située et accueillante
AGENCE-00288,CLI-61599,2025-08-20,Differdange,Retrait de documents,Oui,10-15 min,4,5,4,3,4,Oui,Conseiller très professionnel
AGENCE-00289,CLI-34805,2025-05-06,Luxembourg-Gare,Modification de contrat,Oui,10-15 min,5,4,5,5,5,Oui,Conseiller très professionnel
AGENCE-00290,CLI-65400,2025-06-26,Luxembourg-Gare,Question/conseil,Non,5-10 min,4,4,5,4,3,Oui,Conseiller très professionnel
AGENCE-00291,CLI-73833,2025-07-01,Ettelbruck,Résiliation,Non,> 30 min,4,3,5,3,3,Oui,Conseiller très professionnel
AGENCE-00292,CLI-23789,2025-09-16,Esch-sur-Alzette,Résiliation,Non,< 5 min,4,4,3,3,3,Oui,Accueil chaleureux
AGENCE-00293,CLI-92715,2025-09-04,Wiltz,Demande d'information,Non,5-10 min,4,5,5,3,4,Oui,"Pas d'attente, service rapide"
AGENCE-00294,CLI-41279,2025-05-22,Diekirch,Paiement,Oui,5-10 min,2,3,3,1,1,Non,"Agence trop petite, manque de place"
AGENCE-00295,CLI-46150,2025-09-16,Grevenmacher,Déclaration sinistre,Non,< 5 min,4,5,5,3,3,Oui,Personnel compétent et à l'écoute
AGENCE-00296,CLI-63304,2025-10-15,Luxembourg-Gare,Déclaration sinistre,Non,15-30 min,5,5,4,4,4,Oui,"Pas d'attente, service rapide"
AGENCE-00297,CLI-97640,2025-07-05,Luxembourg-Gare,Demande d'information,Non,15-30 min,4,3,4,4,3,Oui,Personnel compétent et à l'écoute
AGENCE-00298,CLI-71402,2025-08-22,Remich,Souscription nouveau contrat,Non,< 5 min,4,5,5,4,4,Oui,Personnel compétent et à l'écoute
AGENCE-00299,CLI-18520,2025-09-28,Differdange,Rendez-vous conseiller,Non,< 5 min,3,2,3,2,3,Peut-être,Horaires d'ouverture contraignants
AGENCE-00300,CLI-26487,2025-08-12,Luxembourg-Gare,Modification de contrat,Non,< 5 min,5,5,5,5,4,Oui,Personnel compétent et à l'écoute
AGENCE-00301,CLI-44461,2025-10-12,Luxembourg-Gare,Résiliation,Non,< 5 min,5,5,5,5,4,Oui,Accueil chaleureux
AGENCE-00302,CLI-85572,2025-05-07,Ettelbruck,Paiement,Non,5-10 min,5,5,5,4,5,Oui,Agence bien située et accueillante
AGENCE-00303,CLI-71695,2025-08-04,Diekirch,Demande d'information,Non,> 30 min,5,4,5,5,4,Oui,Accueil chaleureux
AGENCE-00304,CLI-17030,2025-04-21,Remich,Paiement,Oui,15-30 min,4,3,3,3,4,Oui,Personnel compétent et à l'écoute
AGENCE-00305,CLI-46285,2025-08-04,Remich,Résiliation,Non,5-10 min,4,5,5,4,4,Oui,Personnel compétent et à l'écoute
AGENCE-00306,CLI-73737,2025-07-31,Esch-sur-Alzette,Demande d'information,Non,> 30 min,5,5,5,4,5,Oui,"Pas d'attente, service rapide"
AGENCE-00307,CLI-62459,2025-09-03,Wiltz,Retrait de documents,Non,> 30 min,5,5,4,4,5,Oui,Personnel compétent et à l'écoute
AGENCE-00308,CLI-51873,2025-05-23,Diekirch,Déclaration sinistre,Non,> 30 min,4,4,3,3,3,Oui,Agence bien située et accueillante
AGENCE-00309,CLI-68121,2025-09-16,Differdange,Déclaration sinistre,Non,10-15 min,4,3,3,4,4,Oui,Accueil chaleureux
AGENCE-00310,CLI-80321,2025-09-15,Remich,Réclamation,Oui,15-30 min,4,4,5,4,3,Oui,Conseiller très professionnel
AGENCE-00311,CLI-36416,2025-07-14,Esch-sur-Alzette,Rendez-vous conseiller,Non,10-15 min,4,5,4,3,4,Oui,Personnel compétent et à l'écoute
AGENCE-00312,CLI-50332,2025-05-26,Diekirch,Souscription nouveau contrat,Non,5-10 min,4,4,4,3,4,Oui,Agence bien située et accueillante
AGENCE-00313,CLI-26227,2025-07-09,Diekirch,Souscription nouveau contrat,Non,< 5 min,3,4,3,3,3,Peut-être,"Agence trop petite, manque de place"
AGENCE-00314,CLI-50322,2025-06-27,Grevenmacher,Souscription nouveau contrat,Non,10-15 min,4,5,3,4,4,Oui,Accueil chaleureux
AGENCE-00315,CLI-89670,2025-09-27,Differdange,Retrait de documents,Non,15-30 min,3,4,4,3,3,Peut-être,Conseiller pressé
AGENCE-00316,CLI-93322,2025-09-10,Dudelange,Rendez-vous conseiller,Non,< 5 min,5,5,4,5,4,Oui,"Pas d'attente, service rapide"
AGENCE-00317,CLI-25671,2025-09-21,Luxembourg-Centre,Déclaration sinistre,Oui,10-15 min,2,2,2,2,2,Non,Horaires d'ouverture contraignants
AGENCE-00318,CLI-11498,2025-10-14,Diekirch,Modification de contrat,Oui,5-10 min,3,2,3,2,3,Peut-être,Horaires d'ouverture contraignants
AGENCE-00319,CLI-60061,2025-07-15,Luxembourg-Gare,Modification de contrat,Oui,< 5 min,4,3,5,3,3,Oui,Accueil chaleureux
AGENCE-00320,CLI-48912,2025-05-08,Wiltz,Déclaration sinistre,Oui,10-15 min,2,2,1,1,1,Non,"Agence trop petite, manque de place"
AGENCE-00321,CLI-87737,2025-04-21,Grevenmacher,Paiement,Oui,10-15 min,2,1,1,1,1,Non,Conseiller pressé
AGENCE-00322,CLI-16751,2025-10-18,Differdange,Paiement,Non,> 30 min,4,3,4,4,4,Oui,"Pas d'attente, service rapide"
AGENCE-00323,CLI-72860,2025-07-19,Esch-sur-Alzette,Réclamation,Non,15-30 min,5,5,5,4,4,Oui,Agence bien située et accueillante
AGENCE-00324,CLI-32719,2025-07-29,Grevenmacher,Résiliation,Oui,5-10 min,5,5,5,5,4,Oui,Accueil chaleureux
AGENCE-00325,CLI-23674,2025-10-07,Differdange,Souscription nouveau contrat,Oui,15-30 min,4,4,5,3,3,Oui,Conseiller très professionnel
AGENCE-00326,CLI-71690,2025-06-15,Diekirch,Souscription nouveau contrat,Non,15-30 min,5,5,5,5,4,Oui,Agence bien située et accueillante
AGENCE-00327,CLI-18128,2025-08-08,Dudelange,Question/conseil,Non,10-15 min,4,4,4,3,3,Oui,Agence bien située et accueillante
AGENCE-00328,CLI-60966,2025-08-01,Luxembourg-Gare,Paiement,Oui,> 30 min,1,1,1,1,1,Non,Temps d'attente excessif
AGENCE-00329,CLI-10232,2025-07-28,Grevenmacher,Retrait de documents,Non,< 5 min,5,5,5,4,4,Oui,Conseiller très professionnel
AGENCE-00330,CLI-41730,2025-07-12,Luxembourg-Centre,Résiliation,Oui,> 30 min,4,4,5,3,4,Oui,Conseiller très professionnel
AGENCE-00331,CLI-73548,2025-09-02,Ettelbruck,Réclamation,Oui,10-15 min,4,3,3,4,3,Oui,Agence bien située et accueillante
AGENCE-00332,CLI-55787,2025-06-02,Differdange,Souscription nouveau contrat,Oui,> 30 min,4,5,3,3,4,Oui,Agence bien située et accueillante
