feedback_id,client_id,date_feedback,agence,motif_visite,avec_rendez_vous,temps_attente,note_globale,note_accueil,note_competence_conseiller,note_proprete_locaux,note_accessibilite,reviendrait,commentaire
AGENCE-00333,CLI-14878,2025-06-18,Grevenmacher,Rendez-vous conseiller,Non,15-30 min,4,3,4,4,3,Oui,"Pas d'attente, service rapide"
AGENCE-00334,CLI-95319,2025-04-22,Dudelange,Réclamation,Oui,> 30 min,5,5,5,5,4,Oui,Accueil chaleureux
AGENCE-00335,CLI-97335,2025-07-14,Remich,Résiliation,Oui,< 5 min,4,3,5,4,4,Oui,Agence bien située et accueillante
AGENCE-00336,CLI-67871,2025-05-03,Wiltz,Question/conseil,Non,5-10 min,4,5,3,4,3,Oui,Conseiller très professionnel
AGENCE-00337,CLI-43697,2025-09-10,Grevenmacher,Paiement,Non,10-15 min,3,4,2,2,2,Peut-être,"Agence trop petite, manque de place"
AGENCE-00338,CLI-31377,2025-07-21,Diekirch,Déclaration sinistre,Oui,5-10 min,4,3,5,4,4,Oui,Agence bien située et accueillante
AGENCE-00339,CLI-14196,2025-08-07,Remich,Déclaration sinistre,Non,10-15 min,1,1,2,1,1,Non,"Agence trop petite, manque de place"
AGENCE-00340,CLI-31136,2025-06-14,Esch-sur-Alzette,Résiliation,Oui,> 30 min,5,4,5,5,5,Oui,Agence bien située et accueillante
AGENCE-00341,CLI-53518,2025-04-23,Wiltz,Déclaration sinistre,Oui,10-15 min,5,5,5,5,4,Oui,Conseiller très professionnel
AGENCE-00342,CLI-71671,2025-10-12,Luxembourg-Gare,Déclaration sinistre,Oui,> 30 min,5,5,5,5,4,Oui,Accueil chaleureux
AGENCE-00343,CLI-59234,2025-09-01,Wiltz,Question/conseil,Non,< 5 min,2,2,3,1,1,Non,Conseiller pressé
AGENCE-00344,CLI-89567,2025-10-14,Esch-sur-Alzette,Modification de contrat,Non,> 30 min,5,5,5,5,5,Oui,Personnel compétent et à l'écoute
AGENCE-00345,CLI-41103,2025-09-05,Ettelbruck,Demande d'information,Non,10-15 min,5,5,5,4,5,Oui,Accueil chaleureux
AGENCE-00346,CLI-38926,2025-05-18,Diekirch,Question/conseil,Non,5-10 min,4,5,5,4,4,Oui,Agence bien située et accueillante
AGENCE-00347,CLI-30335,2025-09-07,Remich,Demande d'information,Oui,> 30 min,4,5,4,3,3,Oui,Agence bien située et accueillante
AGENCE-00348,CLI-32481,2025-06-13,Ettelbruck,Retrait de documents,Non,< 5 min,5,4,5,5,5,Oui,Conseiller très professionnel
AGENCE-00349,CLI-34914,2025-07-07,Dudelange,Modification de contrat,Oui,10-15 min,2,3,1,2,2,Non,Conseiller pressé
AGENCE-00350,CLI-91566,2025-07-04,Ettelbruck,Résiliation,Non,5-10 min,5,5,5,4,5,Oui,Conseiller très professionnel
AGENCE-00351,CLI-58587,2025-05-25,Esch-sur-Alzette,Modification de contrat,Oui,> 30 min,4,4,3,4,4,Oui,"Pas d'attente, service rapide"
AGENCE-00352,CLI-74300,2025-08-13,Ettelbruck,Demande d'information,Oui,< 5 min,3,4,4,3,2,Peut-être,"Agence trop petite, manque de place"
AGENCE-00353,CLI-62751,2025-06-03,Grevenmacher,Souscription nouveau contrat,Oui,5-10 min,4,5,3,4,4,Oui,Conseiller très professionnel
AGENCE-00354,CLI-10786,2025-10-14,Luxembourg-Centre,Paiement,Oui,> 30 min,5,5,5,5,4,Oui,"Pas d'attente, service rapide"
AGENCE-00355,CLI-92064,2025-10-11,Dudelange,Question/conseil,Non,5-10 min,4,5,5,4,3,Oui,Agence bien située et accueillante
AGENCE-00356,CLI-11228,2025-05-05,Diekirch,Modification de contrat,Non,15-30 min,3,3,3,2,3,Peut-être,"Agence trop petite, manque de place"
AGENCE-00357,CLI-44599,2025-10-11,Ettelbruck,Modification de contrat,Non,5-10 min,5,5,5,4,4,Oui,Agence bien située et accueillante
AGENCE-00358,CLI-85524,2025-07-19,Luxembourg-Centre,Retrait de documents,Oui,15-30 min,5,4,4,4,4,Oui,Conseiller très professionnel
AGENCE-00359,CLI-96493,2025-07-10,Luxembourg-Centre,Demande d'information,Oui,> 30 min,4,4,4,4,3,Oui,Conseiller très professionnel
AGENCE-00360,CLI-10930,2025-06-25,Luxembourg-Centre,Résiliation,Oui,< 5 min,5,5,4,4,4,Oui,Agence bien située et accueillante
AGENCE-00361,CLI-74866,2025-08-16,Luxembourg-Centre,Modification de contrat,Non,10-15 min,2,1,3,1,2,Non,Conseiller pressé
AGENCE-00362,CLI-35396,2025-07-03,Remich,Rendez-vous conseiller,Non,5-10 min,4,4,4,3,4,Oui,Conseiller très professionnel
AGENCE-00363,CLI-34959,2025-08-31,Ettelbruck,Paiement,Non,< 5 min,4,3,4,3,4,Oui,"Pas d'attente, service rapide"
AGENCE-00364,CLI-43789,2025-05-29,Remich,Réclamation,Oui,10-15 min,4,3,4,3,4,Oui,Accueil chaleureux
AGENCE-00365,CLI-69912,2025-10-11,Grevenmacher,Souscription nouveau contrat,Non,10-15 min,1,1,1,1,1,Non,Parking difficile
AGENCE-00366,CLI-72995,2025-05-19,Luxembourg-Gare,Question/conseil,Oui,15-30 min,5,5,5,5,5,Oui,Accueil chaleureux
AGENCE-00367,CLI-17423,2025-10-07,Wiltz,Retrait de documents,Oui,10-15 min,4,3,5,4,4,Oui,Accueil chaleureux
AGENCE-00368,CLI-13206,2025-06-12,Diekirch,Souscription nouveau contrat,Non,15-30 min,4,4,3,4,4,Oui,Accueil chaleureux
AGENCE-00369,CLI-52680,2025-08-24,Luxembourg-Gare,Rendez-vous conseiller,Oui,> 30 min,5,5,5,5,5,Oui,Conseiller très professionnel
AGENCE-00370,CLI-87128,2025-06-01,Esch-sur-Alzette,Réclamation,Non,5-10 min,4,5,4,3,3,Oui,"Pas d'attente, service rapide"
AGENCE-00371,CLI-48960,2025-08-31,Grevenmacher,Question/conseil,Non,> 30 min,3,2,2,3,3,Peut-être,Parking difficile
AGENCE-00372,CLI-97641,2025-10-14,Luxembourg-Gare,Paiement,Oui,10-15 min,3,4,4,2,2,Peut-être,Horaires d'ouverture contraignants
AGENCE-00373,CLI-27249,2025-07-28,Dudelange,Retrait de documents,Oui,10-15 min,4,4,5,4,3,Oui,Personnel compétent et à l'écoute
AGENCE-00374,CLI-59331,2025-06-24,Ettelbruck,Réclamation,Oui,10-15 min,5,5,5,5,4,Oui,Personnel compétent et à l'écoute
AGENCE-00375,CLI-92270,2025-08-07,Dudelange,Question/conseil,Non,> 30 min,3,3,4,3,2,Peut-être,Temps d'attente excessif
AGENCE-00376,CLI-25673,2025-04-21,Wiltz,Souscription nouveau contrat,Oui,> 30 min,5,5,4,4,4,Oui,Agence bien située et accueillante
AGENCE-00377,CLI-83437,2025-06-23,Grevenmacher,Réclamation,Non,10-15 min,4,3,4,3,3,Oui,"Pas d'attente, service rapide"
AGENCE-00378,CLI-66481,2025-10-05,Dudelange,Retrait de documents,Oui,< 5 min,5,4,5,4,5,Oui,Conseiller très professionnel
AGENCE-00379,CLI-54386,2025-10-16,Luxembourg-Gare,Retrait de documents,Oui,10-15 min,5,4,5,5,5,Oui,"Pas d'attente, service rapide"
AGENCE-00380,CLI-24195,2025-10-09,Ettelbruck,Résiliation,Non,> 30 min,3,4,4,2,3,Peut-être,Parking difficile
AGENCE-00381,CLI-40402,2025-07-26,Dudelange,Réclamation,Oui,< 5 min,4,5,5,3,3,Oui,Conseiller très professionnel
AGENCE-00382,CLI-85056,2025-10-01,Differdange,Question/conseil,Oui,10-15 min,4,4,4,3,4,Oui,"Pas d'attente, service rapide"
AGENCE-00383,CLI-60937,2025-09-12,Ettelbruck,Paiement,Non,> 30 min,3,4,2,3,2,Peut-être,Horaires d'ouverture contraignants
AGENCE-00384,CLI-75914,2025-07-21,Diekirch,Paiement,Non,> 30 min,4,3,4,3,4,Oui,Personnel compétent et à l'écoute
AGENCE-00385,CLI-19561,2025-10-02,Esch-sur-Alzette,Rendez-vous conseiller,Oui,< 5 min,2,3,3,1,1,Non,Conseiller pressé
AGENCE-00386,CLI-36650,2025-06-30,Luxembourg-Gare,Réclamation,Non,10-15 min,4,3,4,4,4,Oui,"Pas d'attente, service rapide"
AGENCE-00387,CLI-62059,2025-10-13,Esch-sur-Alzette,Rendez-vous conseiller,Oui,> 30 min,2,1,3,1,1,Non,Horaires d'ouverture contraignants
AGENCE-00388,CLI-95488,2025-06-26,Differdange,Réclamation,Oui,10-15 min,4,3,5,4,4,Oui,Agence bien située et accueillante
AGENCE-00389,CLI-40346,2025-07-30,Dudelange,Paiement,Oui,5-10 min,3,4,2,2,2,Peut-être,Parking difficile
AGENCE-00390,CLI-16780,2025-09-26,Differdange,Question/conseil,Non,5-10 min,4,5,5,4,3,Oui,Personnel compétent et à l'écoute
AGENCE-00391,CLI-13253,2025-08-16,Dudelange,Résiliation,Non,5-10 min,3,4,4,3,2,Peut-être,"Agence trop petite, manque de place"
AGENCE-00392,CLI-30345,2025-07-01,Remich,Souscription nouveau contrat,Non,> 30 min,5,4,5,5,4,Oui,Personnel compétent et à l'écoute
AGENCE-00393,CLI-97748,2025-06-30,Wiltz,Retrait de documents,Non,15-30 min,2,2,3,2,2,Non,"Agence trop petite, manque de place"
AGENCE-00394,CLI-45407,2025-05-18,Luxembourg-Gare,Résiliation,Non,5-10 min,2,2,3,2,2,Non,Horaires d'ouverture contraignants
AGENCE-00395,CLI-37932,2025-09-25,Diekirch,Retrait de documents,Non,> 30 min,5,5,5,5,4,Oui,Agence bien située et accueillante
AGENCE-00396,CLI-60389,2025-09-15,Luxembourg-Centre,Rendez-vous conseiller,Oui,> 30 min,3,4,2,2,3,Peut-être,"Agence trop petite, manque de place"
AGENCE-00397,CLI-47362,2025-10-09,Diekirch,Demande d'information,Non,10-15 min,4,4,5,3,3,Oui,Personnel compétent et à l'écoute
AGENCE-00398,CLI-53660,2025-06-22,Dudelange,Rendez-vous conseiller,Oui,5-10 min,4,4,5,4,4,Oui,Accueil chaleureux
AGENCE-00399,CLI-30724,2025-09-11,Luxembourg-Gare,Déclaration sinistre,Oui,< 5 min,4,5,5,3,3,Oui,Agence bien située et accueillante
AGENCE-00400,CLI-69176,2025-10-05,Dudelange,Question/conseil,Non,10-15 min,5,5,5,5,5,Oui,Agence bien située et accueillante
AGENCE-00401,CLI-54289,2025-05-13,Luxembourg-Centre,Retrait de documents,Non,< 5 min,4,4,4,3,3,Oui,"Pas d'attente, service rapide"
AGENCE-00402,CLI-25314,2025-10-14,Luxembourg-Centre,Rendez-vous conseiller,Oui,5-10 min,1,1,1,1,1,Non,Parking difficile
AGENCE-00403,CLI-48184,2025-10-03,Grevenmacher,Rendez-vous conseiller,Non,> 30 min,4,3,5,3,3,Oui,Accueil chaleureux
AGENCE-00404,CLI-36565,2025-06-06,Grevenmacher,Rendez-vous conseiller,Oui,5-10 min,2,1,2,1,1,Non,Horaires d'ouverture contraignants
AGENCE-00405,CLI-93787,2025-04-25,Luxembourg-Gare,Réclamation,Oui,10-15 min,1,2,1,1,1,Non,Horaires d'ouverture contraignants
AGENCE-00406,CLI-45277,2025-09-01,Wiltz,Demande d'information,Oui,< 5 min,4,4,3,4,3,Oui,Conseiller très professionnel
AGENCE-00407,CLI-48664,2025-08-03,Diekirch,Modification de contrat,Oui,< 5 min,1,1,1,1,1,Non,Conseiller pressé
AGENCE-00408,CLI-64396,2025-09-27,Luxembourg-Centre,Retrait de documents,Non,10-15 min,4,5,4,3,3,Oui,Conseiller très professionnel
AGENCE-00409,CLI-54470,2025-06-03,Grevenmacher,Question/conseil,Non,> 30 min,3,3,2,3,3,Peut-être,Parking difficile
AGENCE-00410,CLI-79081,2025-05-30,Remich,Réclamation,Oui,> 30 min,5,5,5,5,4,Oui,Agence bien située et accueillante
AGENCE-00411,CLI-20562,2025-09-16,Ettelbruck,Modification de contrat,Non,10-15 min,4,5,5,4,4,Oui,Personnel compétent et à l'écoute
AGENCE-00412,CLI-74543,2025-04-25,Grevenmacher,Déclaration sinistre,Oui,5-10 min,3,2,3,2,3,Peut-être,"Agence trop petite, manque de place"
AGENCE-00413,CLI-97897,2025-07-25,Dudelange,Modification de contrat,Oui,< 5 min,4,3,4,3,3,Oui,Personnel compétent et à l'écoute
AGENCE-00414,CLI-64104,2025-07-08,Differdange,Souscription nouveau contrat,Non,< 5 min,4,4,5,3,3,Oui,Conseiller très professionnel
AGENCE-00415,CLI-22062,2025-10-02,Esch-sur-Alzette,Demande d'information,Oui,< 5 min,5,5,5,4,5,Oui,"Pas d'attente, service rapide"
AGENCE-00416,CLI-65696,2025-08-05,Differdange,Demande d'information,Non,> 30 min,3,2,3,2,2,Peut-être,Horaires d'ouverture contraignants
AGENCE-00417,CLI-69204,2025-08-07,Grevenmacher,Résiliation,Non,15-30 min,4,3,5,4,4,Oui,"Pas d'attente, service rapide"
AGENCE-00418,CLI-21890,2025-06-07,Diekirch,Résiliation,Oui,< 5 min,5,4,5,4,5,Oui,"Pas d'attente, service rapide"
AGENCE-00419,CLI-66539,2025-05-07,Ettelbruck,Résiliation,Oui,10-15 min,5,5,5,4,4,Oui,"Pas d'attente, service rapide"
AGENCE-00420,CLI-99709,2025-06-19,Wiltz,Question/conseil,Oui,15-30 min,4,3,5,4,4,Oui,Accueil chaleureux
AGENCE-00421,CLI-62582,2025-06-16,Remich,Retrait de documents,Non,> 30 min,1,1,1,1,1,Non,Conseiller pressé
AGENCE-00422,CLI-60684,2025-05-08,Remich,Question/conseil,Non,5-10 min,3,3,3,2,3,Peut-être,Parking difficile
AGENCE-00423,CLI-10850,2025-04-28,Grevenmacher,Déclaration sinistre,Oui,> 30 min,1,1,1,1,1,Non,Conseiller pressé
AGENCE-00424,CLI-27957,2025-07-29,Luxembourg-Gare,Déclaration sinistre,Oui,> 30 min,5,5,4,4,4,Oui,Agence bien située et accueillante
AGENCE-00425,CLI-91848,2025-07-15,Diekirch,Souscription nouveau contrat,Non,15-30 min,4,5,4,4,4,Oui,"Pas d'attente, service rapide"
AGENCE-00426,CLI-47846,2025-09-06,Differdange,Déclaration sinistre,Non,15-30 min,4,4,3,4,4,Oui,Personnel compétent et à l'écoute
AGENCE-00427,CLI-12347,2025-04-23,Wiltz,Question/conseil,Non,< 5 min,3,4,2,2,3,Peut-être,Parking difficile
AGENCE-00428,CLI-99120,2025-07-18,Luxembourg-Centre,Question/conseil,Non,< 5 min,2,3,2,1,1,Non,Temps d'attente excessif
AGENCE-00429,CLI-97409,2025-06-11,Luxembourg-Centre,Paiement,Non,> 30 min,4,4,4,4,4,Oui,Conseiller très professionnel
AGENCE-00430,CLI-81205,2025-08-11,Differdange,Déclaration sinistre,Non,15-30 min,5,5,5,5,4,Oui,Conseiller très professionnel
AGENCE-00431,CLI-71187,2025-07-15,Wiltz,Question/conseil,Non,> 30 min,4,5,4,3,4,Oui,Personnel compétent et à l'écoute
AGENCE-00432,CLI-46102,2025-09-26,Diekirch,Paiement,Oui,< 5 min,5,4,4,5,4,Oui,Agence bien située et accueillante
AGENCE-00433,CLI-45813,2025-08-25,Diekirch,Retrait de documents,Oui,> 30 min,3,3,4,3,2,Peut-être,Temps d'attente excessif
AGENCE-00434,CLI-24438,2025-07-24,Luxembourg-Centre,Souscription nouveau contrat,Oui,> 30 min,3,3,2,3,2,Peut-être,Horaires d'ouverture contraignants
AGENCE-00435,CLI-69812,2025-06-10,Wiltz,Modification de contrat,Non,> 30 min,4,4,5,4,4,Oui,Personnel compétent et à l'écoute
AGENCE-00436,CLI-21719,2025-07-19,Diekirch,Question/conseil,Oui,< 5 min,3,3,4,2,3,Peut-être,Parking difficile
AGENCE-00437,CLI-53138,2025-07-22,Wiltz,Réclamation,Oui,> 30 min,4,3,4,3,4,Oui,"Pas d'attente, service rapide"
AGENCE-00438,CLI-86262,2025-05-17,Grevenmacher,Souscription nouveau contrat,Oui,5-10 min,4,3,4,3,4,Oui,Agence bien située et accueillante
AGENCE-00439,CLI-56473,2025-05-13,Diekirch,Résiliation,Non,10-15 min,1,1,1,1,1,Non,Temps d'attente excessif
AGENCE-00440,CLI-48397,2025-09-10,Remich,Souscription nouveau contrat,Non,15-30 min,5,5,5,4,5,Oui,Conseiller très professionnel
AGENCE-00441,CLI-19267,2025-05-08,Diekirch,Souscription nouveau contrat,Non,> 30 min,1,1,1,1,1,Non,Temps d'attente excessif
AGENCE-00442,CLI-40578,2025-07-11,Ettelbruck,Souscription nouveau contrat,Non,< 5 min,4,5,4,3,3,Oui,Conseiller très professionnel
AGENCE-00443,CLI-66188,2025-05-26,Remich,Modification de contrat,Non,15-30 min,5,5,5,4,4,Oui,Personnel compétent et à l'écoute
AGENCE-00444,CLI-68490,2025-08-10,Dudelange,Modification de contrat,Oui,> 30 min,5,4,5,5,4,Oui,Agence bien située et accueillante
AGENCE-00445,CLI-56831,2025-05-05,Remich,Modification de contrat,Non,> 30 min,4,3,5,3,4,Oui,Conseiller très professionnel
AGENCE-00446,CLI-79915,2025-06-22,Diekirch,Souscription nouveau contrat,Non,15-30 min,5,4,5,4,5,Oui,Accueil chaleureux
AGENCE-00447,CLI-51771,2025-06-03,Luxembourg-Gare,Retrait de documents,Non,< 5 min,3,2,4,3,2,Peut-être,Parking difficile
AGENCE-00448,CLI-17590,2025-06-10,Wiltz,Déclaration sinistre,Non,10-15 min,4,4,3,4,3,Oui,"Pas d'attente, service rapide"
AGENCE-00449,CLI-36679,2025-04-22,Luxembourg-Centre,Modification de contrat,Non,< 5 min,2,1,1,2,1,Non,"Agence trop petite, manque de place"
AGENCE-00450,CLI-27452,2025-09-21,Grevenmacher,Modification de contrat,Non,5-10 min,5,5,5,4,4,Oui,Personnel compétent et à l'écoute
AGENCE-00451,CLI-41469,2025-10-14,Luxembourg-Centre,Réclamation,Non,< 5 min,2,2,1,2,2,Non,"Agence trop petite, manque de place"
AGENCE-00452,CLI-83387,2025-05-26,Wiltz,Souscription nouveau contrat,Non,< 5 min,4,5,3,4,3,Oui,Agence bien située et accueillante
AGENCE-00453,CLI-55587,2025-08-29,Luxembourg-Centre,Modification de contrat,Oui,15-30 min,3,3,4,2,3,Peut-être,Temps d'attente excessif
AGENCE-00454,CLI-53449,2025-04-23,Dudelange,Résiliation,Non,5-10 min,4,3,4,3,3,Oui,Accueil chaleureux
AGENCE-00455,CLI-12635,2025-09-09,Luxembourg-Gare,Réclamation,Oui,< 5 min,4,5,4,4,3,Oui,Accueil chaleureux
AGENCE-00456,CLI-53762,2025-08-30,Luxembourg-Gare,Retrait de documents,Oui,5-10 min,4,3,3,3,3,Oui,Conseiller très professionnel
AGENCE-00457,CLI-36566,2025-05-10,Differdange,Réclamation,Oui,5-10 min,5,5,5,5,5,Oui,Conseiller très professionnel
AGENCE-00458,CLI-81036,2025-10-07,Differdange,Paiement,Oui,< 5 min,4,5,5,4,3,Oui,Accueil chaleureux
AGENCE-00459,CLI-49231,2025-07-26,Differdange,Demande d'information,Non,< 5 min,4,3,4,3,3,Oui,"Pas d'attente, service rapide"
AGENCE-00460,CLI-33597,2025-05-13,Luxembourg-Centre,Demande d'information,Oui,15-30 min,5,4,5,4,5,Oui,"Pas d'attente, service rapide"
AGENCE-00461,CLI-28090,2025-05-07,Esch-sur-Alzette,Paiement,Non,5-10 min,3,4,2,3,3,Peut-être,Temps d'attente excessif
AGENCE-00462,CLI-68653,2025-10-12,Luxembourg-Centre,Résiliation,Oui,> 30 min,2,2,1,2,1,Non,Parking difficile
AGENCE-00463,CLI-12254,2025-08-17,Remich,Paiement,Oui,< 5 min,4,5,5,4,3,Oui,Accueil chaleureux
AGENCE-00464,CLI-55546,2025-07-25,Differdange,Rendez-vous conseiller,Oui,10-15 min,4,5,4,3,3,Oui,Agence bien située et accueillante
AGENCE-00465,CLI-20465,2025-08-04,Ettelbruck,Réclamation,Oui,< 5 min,5,4,4,4,5,Oui,Personnel compétent et à l'écoute
AGENCE-00466,CLI-45116,2025-09-30,Ettelbruck,Rendez-vous conseiller,Non,> 30 min,4,4,3,4,4,Oui,"Pas d'attente, service rapide"
AGENCE-00467,CLI-45765,2025-05-26,Grevenmacher,Résiliation,Non,10-15 min,5,5,4,5,4,Oui,Conseiller très professionnel
AGENCE-00468,CLI-83255,2025-08-10,Grevenmacher,Réclamation,Oui,10-15 min,5,5,5,4,4,Oui,Personnel compétent et à l'écoute
AGENCE-00469,CLI-61626,2025-07-25,Remich,Demande d'information,Oui,10-15 min,5,5,5,5,4,Oui,Accueil chaleureux
AGENCE-00470,CLI-89260,2025-05-06,Remich,Souscription nouveau contrat,Non,> 30 min,5,4,4,5,5,Oui,Conseiller très professionnel
AGENCE-00471,CLI-68553,2025-07-04,Differdange,Modification de contrat,Non,> 30 min,3,2,3,2,3,Peut-être,"Agence trop petite, manque de place"
AGENCE-00472,CLI-65175,2025-08-21,Grevenmacher,Résiliation,Oui,5-10 min,4,4,4,4,3,Oui,Personnel compétent et à l'écoute
AGENCE-00473,CLI-45142,2025-05-20,Diekirch,Déclaration sinistre,Oui,5-10 min,4,4,3,3,3,Oui,"Pas d'attente, service rapide"
AGENCE-00474,CLI-26801,2025-08-02,Remich,Paiement,Non,15-30 min,4,4,3,4,4,Oui,Conseiller très professionnel
AGENCE-00475,CLI-45870,2025-06-27,Luxembourg-Centre,Question/conseil,Oui,5-10 min,4,5,3,3,3,Oui,Accueil chaleureux
AGENCE-00476,CLI-46298,2025-07-20,Ettelbruck,Paiement,Oui,15-30 min,4,4,5,3,4,Oui,Accueil chaleureux
AGENCE-00477,CLI-48103,2025-07-01,Remich,Souscription nouveau contrat,Oui,5-10 min,4,4,4,3,4,Oui,"Pas d'attente, service rapide"
AGENCE-00478,CLI-47196,2025-10-03,Diekirch,Question/conseil,Oui,10-15 min,5,5,5,5,5,Oui,Accueil chaleureux
AGENCE-00479,CLI-56385,2025-07-05,Grevenmacher,Déclaration sinistre,Oui,15-30 min,2,1,2,2,1,Non,Conseiller pressé
AGENCE-00480,CLI-42536,2025-08-22,Esch-sur-Alzette,Rendez-vous conseiller,Non,> 30 min,4,5,3,4,3,Oui,Conseiller très professionnel
AGENCE-00481,CLI-85759,2025-04-22,Ettelbruck,Déclaration sinistre,Oui,15-30 min,3,2,2,3,2,Peut-être,Horaires d'ouverture contraignants
AGENCE-00482,CLI-15138,2025-05-10,Differdange,Modification de contrat,Non,> 30 min,2,3,1,2,2,Non,"Agence trop petite, manque de place"
AGENCE-00483,CLI-33976,2025-06-25,Ettelbruck,Réclamation,Non,< 5 min,4,4,4,3,3,Oui,Agence bien située et accueillante
AGENCE-00484,CLI-41771,2025-04-27,Dudelange,Paiement,Non,15-30 min,4,4,4,4,4,Oui,Agence bien située et accueillante
AGENCE-00485,CLI-14076,2025-04-21,Esch-sur-Alzette,Demande d'information,Oui,> 30 min,2,2,2,2,2,Non,Horaires d'ouverture contraignants
AGENCE-00486,CLI-88440,2025-04-26,Luxembourg-Gare,Réclamation,Oui,10-15 min,3,3,3,2,3,Peut-être,Temps d'attente excessif
AGENCE-00487,CLI-18223,2025-07-26,Wiltz,Question/conseil,Oui,< 5 min,4,5,5,4,4,Oui,Agence bien située et accueillante
AGENCE-00488,CLI-30896,2025-09-11,Luxembourg-Centre,Rendez-vous conseiller,Oui,10-15 min,4,3,3,3,4,Oui,Conseiller très professionnel
AGENCE-00489,CLI-56209,2025-08-29,Dudelange,Réclamation,Oui,15-30 min,4,5,3,3,3,Oui,Agence bien située et accueillante
AGENCE-00490,CLI-46607,2025-06-12,Wiltz,Retrait de documents,Non,5-10 min,2,2,1,1,2,Non,Temps d'attente excessif
AGENCE-00491,CLI-77535,2025-05-08,Grevenmacher,Question/conseil,Non,10-15 min,5,4,5,5,4,Oui,Personnel compétent et à l'écoute
AGENCE-00492,CLI-54164,2025-06-11,Grevenmacher,Paiement,Non,5-10 min,4,4,4,3,4,Oui,Personnel compétent et à l'écoute
AGENCE-00493,CLI-85901,2025-05-16,Luxembourg-Gare,Déclaration sinistre,Non,> 30 min,4,5,5,3,4,Oui,Agence bien située et accueillante
AGENCE-00494,CLI-45039,2025-07-23,Remich,Rendez-vous conseiller,Non,> 30 min,4,5,3,4,3,Oui,Agence bien située et accueillante
AGENCE-00495,CLI-71425,2025-04-24,Differdange,Résiliation,Oui,< 5 min,4,4,3,4,3,Oui,Conseiller très professionnel
AGENCE-00496,CLI-12110,2025-07-02,Diekirch,Demande d'information,Oui,> 30 min,5,5,5,5,5,Oui,Personnel compétent et à l'écoute
AGENCE-00497,CLI-62378,2025-08-11,Grevenmacher,Modification de contrat,Non,10-15 min,4,4,4,3,3,Oui,Agence bien située et accueillante
AGENCE-00498,CLI-83794,2025-05-10,Remich,Paiement,Oui,> 30 min,5,5,5,4,5,Oui,"Pas d'attente, service rapide"
AGENCE-00499,CLI-45238,2025-08-17,Esch-sur-Alzette,Réclamation,Oui,10-15 min,5,5,5,5,5,Oui,Agence bien située et accueillante
AGENCE-00500,CLI-72041,2025-05-22,Wiltz,Modification de contrat,Oui,> 30 min,3,3,3,2,2,Peut-être,Parking difficile
