feedback_id,client_id,date_feedback,version_app,fonctionnalite,type_feedback,note_globale,note_facilite,note_design,note_performance,commentaire
APPMOB-00001,CLI-41331,2025-05-09 11:22:18,iOS 2.4.1,Demande d'attestation,Appréciation positive,3,3,3,4,Interface claire et intuitive
APPMOB-00002,CLI-64888,2025-06-12 11:22:18,iOS 2.4.1,Suivi de remboursement,Appréciation positive,3,4,3,3,Facile à utiliser
APPMOB-00003,CLI-99328,2025-04-26 11:22:18,Android 2.4.1,Consultation de contrats,Appréciation positive,1,1,1,1,Interface claire et intuitive
APPMOB-00004,CLI-47871,2025-05-28 11:22:18,iOS 2.4.0,Paiement,Bug signalé,2,2,3,1,Problème de connexion récurrent
APPMOB-00005,CLI-60301,2025-06-25 11:22:18,iOS 2.4.1,Gestion de profil,Suggestion d'amélioration,4,5,4,3,Ajouter Touch ID/Face ID
APPMOB-00006,CLI-17960,2025-06-21 11:22:18,iOS 2.4.0,Simulation de devis,Bug signalé,4,4,5,3,Notifications qui ne s'affichent pas
APPMOB-00007,CLI-33827,2025-10-18 11:22:18,iOS 2.4.0,Suivi de remboursement,Suggestion d'amélioration,4,3,5,4,Améliorer l'ergonomie
APPMOB-00008,CLI-20994,2025-10-15 11:22:18,iOS 2.4.1,Paiement,Appréciation positive,5,4,5,5,Facile à utiliser
APPMOB-00009,CLI-44622,2025-04-25 11:22:18,iOS 2.4.1,Chat avec conseiller,Appréciation positive,3,4,3,3,Interface claire et intuitive
APPMOB-00010,CLI-59920,2025-07-03 11:22:18,Android 2.3.5,Espace documentaire,Suggestion d'amélioration,5,5,5,5,Ajouter mode sombre
APPMOB-00011,CLI-37044,2025-06-06 11:22:18,Android 2.4.0,Demande d'attestation,Difficulté d'utilisation,5,4,5,5,Trop complexe pour déclarer un sinistre
APPMOB-00012,CLI-27579,2025-09-27 11:22:18,iOS 2.4.1,Espace documentaire,Appréciation positive,3,4,2,2,Application très pratique
APPMOB-00013,CLI-15314,2025-06-29 11:22:18,Android 2.4.1,Simulation de devis,Difficulté d'utilisation,2,1,2,2,Trop complexe pour déclarer un sinistre
APPMOB-00014,CLI-96133,2025-06-03 11:22:18,iOS 2.4.1,Déclaration de sinistre,Suggestion d'amélioration,4,5,4,4,Ajouter Touch ID/Face ID
APPMOB-00015,CLI-86514,2025-07-07 11:22:18,Android 2.4.1,Déclaration de sinistre,Suggestion d'amélioration,2,3,1,1,Ajouter mode sombre
APPMOB-00016,CLI-91000,2025-05-06 11:22:18,iOS 2.4.0,Simulation de devis,Appréciation positive,4,3,3,4,Interface claire et intuitive
APPMOB-00017,CLI-89016,2025-10-11 11:22:18,iOS 2.4.1,Paiement,Suggestion d'amélioration,5,5,4,5,Ajouter Touch ID/Face ID
APPMOB-00018,CLI-62033,2025-10-18 11:22:18,iOS 2.3.5,Demande d'attestation,Bug signalé,2,1,3,3,Notifications qui ne s'affichent pas
APPMOB-00019,CLI-12353,2025-09-29 11:22:18,Android 2.4.0,Suivi de remboursement,Suggestion d'amélioration,3,3,3,3,Ajouter Touch ID/Face ID
APPMOB-00020,CLI-38014,2025-07-17 11:22:18,iOS 2.4.0,Chat avec conseiller,Bug signalé,2,3,3,3,L'application se ferme lors du paiement
APPMOB-00021,CLI-53831,2025-07-20 11:22:18,iOS 2.4.0,Notification,Bug signalé,3,4,3,4,Problème de connexion récurrent
APPMOB-00022,CLI-18075,2025-06-22 11:22:18,Android 2.4.1,Suivi de remboursement,Appréciation positive,4,4,5,3,Facile à utiliser
APPMOB-00023,CLI-28292,2025-07-30 11:22:18,Android 2.3.5,Simulation de devis,Difficulté d'utilisation,4,4,3,5,Menu pas intuitif
APPMOB-00024,CLI-64350,2025-06-03 11:22:18,iOS 2.4.1,Demande d'attestation,Appréciation positive,3,4,3,4,Application très pratique
APPMOB-00025,CLI-97489,2025-05-05 11:22:18,Android 2.4.0,Consultation de contrats,Bug signalé,4,4,3,5,Notifications qui ne s'affichent pas
APPMOB-00026,CLI-84958,2025-07-10 11:22:18,Android 2.4.1,Gestion de profil,Suggestion d'amélioration,5,5,5,5,Ajouter Touch ID/Face ID
APPMOB-00027,CLI-89652,2025-08-10 11:22:18,Android 2.4.1,Notification,Difficulté d'utilisation,3,3,3,3,Trop complexe pour déclarer un sinistre
APPMOB-00028,CLI-45691,2025-07-18 11:22:18,Android 2.4.0,Espace documentaire,Bug signalé,4,5,4,3,Impossible de télécharger les attestations
APPMOB-00029,CLI-40957,2025-10-18 11:22:18,iOS 2.4.0,Demande d'attestation,Bug signalé,5,5,5,5,L'application se ferme lors du paiement
APPMOB-00030,CLI-46029,2025-06-04 11:22:18,Android 2.3.5,Déclaration de sinistre,Suggestion d'amélioration,4,4,5,3,Améliorer l'ergonomie
APPMOB-00031,CLI-86340,2025-08-20 11:22:18,iOS 2.4.0,Consultation de contrats,Suggestion d'amélioration,4,3,5,4,Améliorer l'ergonomie
APPMOB-00032,CLI-22750,2025-05-18 11:22:18,Android 2.4.1,Gestion de profil,Bug signalé,2,2,2,3,Impossible de télécharger les attestations
APPMOB-00033,CLI-23847,2025-07-24 11:22:18,iOS 2.3.5,Notification,Appréciation positive,5,5,5,5,Facile à utiliser
APPMOB-00034,CLI-82251,2025-06-10 11:22:18,Android 2.3.5,Consultation de contrats,Bug signalé,5,5,5,5,L'application se ferme lors du paiement
APPMOB-00035,CLI-35657,2025-10-10 11:22:18,iOS 2.4.1,Suivi de remboursement,Difficulté d'utilisation,2,1,2,1,Menu pas intuitif
APPMOB-00036,CLI-24559,2025-08-24 11:22:18,iOS 2.3.5,Demande d'attestation,Bug signalé,3,2,3,3,L'application se ferme lors du paiement
APPMOB-00037,CLI-82286,2025-09-26 11:22:18,Android 2.4.0,Demande d'attestation,Appréciation positive,4,3,4,5,Interface claire et intuitive
APPMOB-00038,CLI-40256,2025-10-02 11:22:18,Android 2.3.5,Consultation de contrats,Suggestion d'amélioration,3,2,3,3,Ajouter Touch ID/Face ID
APPMOB-00039,CLI-62492,2025-08-23 11:22:18,Android 2.3.5,Consultation de contrats,Suggestion d'amélioration,3,3,3,2,Ajouter Touch ID/Face ID
APPMOB-00040,CLI-70765,2025-06-19 11:22:18,iOS 2.4.1,Demande d'attestation,Suggestion d'amélioration,4,5,3,4,Ajouter mode sombre
APPMOB-00041,CLI-28808,2025-06-17 11:22:18,iOS 2.4.0,Gestion de profil,Bug signalé,5,4,4,5,Notifications qui ne s'affichent pas
APPMOB-00042,CLI-44533,2025-06-06 11:22:18,Android 2.3.5,Chat avec conseiller,Bug signalé,1,1,2,1,Problème de connexion récurrent
APPMOB-00043,CLI-24660,2025-08-09 11:22:18,Android 2.4.1,Gestion de profil,Appréciation positive,5,5,5,4,Interface claire et intuitive
APPMOB-00044,CLI-93519,2025-06-19 11:22:18,iOS 2.4.1,Déclaration de sinistre,Bug signalé,4,4,5,3,Impossible de télécharger les attestations
APPMOB-00045,CLI-11905,2025-09-17 11:22:18,Android 2.3.5,Déclaration de sinistre,Difficulté d'utilisation,5,4,4,5,Menu pas intuitif
APPMOB-00046,CLI-72624,2025-05-24 11:22:18,iOS 2.4.0,Demande d'attestation,Appréciation positive,4,4,3,4,Application très pratique
APPMOB-00047,CLI-46728,2025-07-20 11:22:18,Android 2.3.5,Espace documentaire,Appréciation positive,4,4,4,4,Application très pratique
APPMOB-00048,CLI-18361,2025-07-10 11:22:18,iOS 2.3.5,Gestion de profil,Suggestion d'amélioration,1,1,1,2,Ajouter mode sombre
APPMOB-00049,CLI-48152,2025-05-25 11:22:18,iOS 2.4.0,Demande d'attestation,Suggestion d'amélioration,2,1,2,1,Améliorer l'ergonomie
APPMOB-00050,CLI-79450,2025-09-17 11:22:18,iOS 2.3.5,Déclaration de sinistre,Bug signalé,1,1,2,1,Impossible de télécharger les attestations
APPMOB-00051,CLI-36129,2025-05-03 11:22:18,iOS 2.4.0,Consultation de contrats,Appréciation positive,3,4,4,2,Application très pratique
APPMOB-00052,CLI-83043,2025-05-08 11:22:18,iOS 2.3.5,Paiement,Appréciation positive,3,4,2,2,Interface claire et intuitive
APPMOB-00053,CLI-70931,2025-08-13 11:22:18,Android 2.4.1,Consultation de contrats,Bug signalé,3,2,4,3,Impossible de télécharger les attestations
APPMOB-00054,CLI-38509,2025-05-28 11:22:18,Android 2.4.0,Suivi de remboursement,Bug signalé,2,3,3,1,L'application se ferme lors du paiement
APPMOB-00055,CLI-48702,2025-07-19 11:22:18,iOS 2.3.5,Chat avec conseiller,Appréciation positive,5,5,4,5,Application très pratique
APPMOB-00056,CLI-55099,2025-05-11 11:22:18,iOS 2.4.1,Déclaration de sinistre,Difficulté d'utilisation,4,3,3,4,Trop complexe pour déclarer un sinistre
APPMOB-00057,CLI-43613,2025-06-11 11:22:18,iOS 2.4.1,Notification,Suggestion d'amélioration,3,4,2,4,Ajouter mode sombre
APPMOB-00058,CLI-44865,2025-07-12 11:22:18,iOS 2.4.0,Gestion de profil,Appréciation positive,3,3,4,3,Application très pratique
APPMOB-00059,CLI-46884,2025-07-22 11:22:18,Android 2.3.5,Demande d'attestation,Appréciation positive,1,1,2,2,Application très pratique
APPMOB-00060,CLI-46567,2025-08-09 11:22:18,Android 2.3.5,Demande d'attestation,Appréciation positive,4,4,3,5,Facile à utiliser
APPMOB-00061,CLI-47093,2025-07-14 11:22:18,iOS 2.4.0,Espace documentaire,Difficulté d'utilisation,5,5,5,5,Menu pas intuitif
APPMOB-00062,CLI-91305,2025-05-08 11:22:18,iOS 2.3.5,Simulation de devis,Suggestion d'amélioration,3,4,2,3,Ajouter mode sombre
APPMOB-00063,CLI-39547,2025-05-27 11:22:18,Android 2.3.5,Notification,Suggestion d'amélioration,3,3,2,3,Ajouter mode sombre
APPMOB-00064,CLI-30849,2025-09-16 11:22:18,Android 2.4.0,Demande d'attestation,Difficulté d'utilisation,4,5,5,5,Menu pas intuitif
APPMOB-00065,CLI-48977,2025-08-29 11:22:18,Android 2.4.1,Déclaration de sinistre,Suggestion d'amélioration,3,3,2,4,Ajouter mode sombre
APPMOB-00066,CLI-61802,2025-04-27 11:22:18,iOS 2.3.5,Déclaration de sinistre,Suggestion d'amélioration,5,4,5,5,Ajouter Touch ID/Face ID
APPMOB-00067,CLI-65813,2025-08-05 11:22:18,iOS 2.3.5,Consultation de contrats,Bug signalé,4,4,5,5,Problème de connexion récurrent
APPMOB-00068,CLI-44547,2025-05-10 11:22:18,iOS 2.3.5,Paiement,Appréciation positive,3,2,4,3,Application très pratique
APPMOB-00069,CLI-54771,2025-07-14 11:22:18,Android 2.4.1,Simulation de devis,Appréciation positive,3,4,2,2,Interface claire et intuitive
APPMOB-00070,CLI-78960,2025-08-06 11:22:18,iOS 2.3.5,Espace documentaire,Suggestion d'amélioration,4,3,4,5,Ajouter mode sombre
APPMOB-00071,CLI-63261,2025-08-05 11:22:18,Android 2.4.0,Demande d'attestation,Appréciation positive,5,4,4,5,Interface claire et intuitive
APPMOB-00072,CLI-88383,2025-08-30 11:22:18,iOS 2.4.1,Chat avec conseiller,Appréciation positive,5,5,4,4,Application très pratique
APPMOB-00073,CLI-61164,2025-08-10 11:22:18,Android 2.3.5,Suivi de remboursement,Suggestion d'amélioration,4,4,5,4,Ajouter mode sombre
APPMOB-00074,CLI-54864,2025-04-30 11:22:18,Android 2.4.0,Simulation de devis,Difficulté d'utilisation,3,2,2,4,Trop complexe pour déclarer un sinistre
APPMOB-00075,CLI-25616,2025-05-17 11:22:18,Android 2.4.1,Demande d'attestation,Appréciation positive,5,4,5,5,Application très pratique
APPMOB-00076,CLI-11910,2025-09-13 11:22:18,Android 2.4.1,Paiement,Suggestion d'amélioration,3,4,2,2,Ajouter Touch ID/Face ID
APPMOB-00077,CLI-36449,2025-09-23 11:22:18,iOS 2.4.0,Consultation de contrats,Suggestion d'amélioration,4,4,5,5,Améliorer l'ergonomie
APPMOB-00078,CLI-75067,2025-09-06 11:22:18,iOS 2.3.5,Simulation de devis,Bug signalé,4,4,5,5,Problème de connexion récurrent
APPMOB-00079,CLI-62722,2025-09-02 11:22:18,iOS 2.3.5,Suivi de remboursement,Bug signalé,4,3,4,4,Impossible de télécharger les attestations
APPMOB-00080,CLI-82940,2025-08-22 11:22:18,iOS 2.3.5,Suivi de remboursement,Suggestion d'amélioration,2,2,3,2,Ajouter mode sombre
APPMOB-00081,CLI-45729,2025-09-27 11:22:18,iOS 2.4.1,Suivi de remboursement,Appréciation positive,3,4,2,2,Application très pratique
APPMOB-00082,CLI-34665,2025-08-17 11:22:18,Android 2.3.5,Demande d'attestation,Appréciation positive,4,3,3,4,Facile à utiliser
APPMOB-00083,CLI-22394,2025-06-28 11:22:18,Android 2.4.1,Suivi de remboursement,Suggestion d'amélioration,5,4,4,4,Améliorer l'ergonomie
APPMOB-00084,CLI-65905,2025-06-23 11:22:18,iOS 2.4.0,Chat avec conseiller,Bug signalé,2,1,2,1,Impossible de télécharger les attestations
APPMOB-00085,CLI-14652,2025-09-21 11:22:18,iOS 2.4.1,Chat avec conseiller,Bug signalé,4,5,3,4,Notifications qui ne s'affichent pas
APPMOB-00086,CLI-79358,2025-09-22 11:22:18,Android 2.3.5,Chat avec conseiller,Suggestion d'amélioration,3,4,4,4,Améliorer l'ergonomie
APPMOB-00087,CLI-80198,2025-08-17 11:22:18,Android 2.4.1,Simulation de devis,Appréciation positive,3,3,2,2,Facile à utiliser
APPMOB-00088,CLI-94783,2025-06-27 11:22:18,iOS 2.4.0,Suivi de remboursement,Suggestion d'amélioration,1,1,2,1,Ajouter Touch ID/Face ID
APPMOB-00089,CLI-18570,2025-10-17 11:22:18,iOS 2.4.0,Suivi de remboursement,Suggestion d'amélioration,5,5,4,5,Ajouter Touch ID/Face ID
APPMOB-00090,CLI-99388,2025-07-24 11:22:18,Android 2.3.5,Paiement,Suggestion d'amélioration,4,4,4,3,Ajouter Touch ID/Face ID
APPMOB-00091,CLI-51691,2025-08-17 11:22:18,Android 2.4.0,Chat avec conseiller,Difficulté d'utilisation,4,5,5,3,Menu pas intuitif
APPMOB-00092,CLI-43584,2025-08-25 11:22:18,Android 2.4.1,Demande d'attestation,Appréciation positive,5,5,5,5,Application très pratique
APPMOB-00093,CLI-76037,2025-06-02 11:22:18,Android 2.3.5,Simulation de devis,Suggestion d'amélioration,3,4,4,3,Ajouter mode sombre
APPMOB-00094,CLI-14766,2025-06-05 11:22:18,iOS 2.3.5,Simulation de devis,Difficulté d'utilisation,4,4,4,3,Trop complexe pour déclarer un sinistre
APPMOB-00095,CLI-47870,2025-06-07 11:22:18,Android 2.4.0,Consultation de contrats,Suggestion d'amélioration,5,5,5,5,Ajouter mode sombre
APPMOB-00096,CLI-52936,2025-09-03 11:22:18,iOS 2.4.1,Simulation de devis,Bug signalé,5,5,5,5,L'application se ferme lors du paiement
APPMOB-00097,CLI-27686,2025-08-07 11:22:18,Android 2.4.1,Gestion de profil,Difficulté d'utilisation,4,4,3,5,Trop complexe pour déclarer un sinistre
APPMOB-00098,CLI-53987,2025-05-29 11:22:18,Android 2.3.5,Suivi de remboursement,Difficulté d'utilisation,2,1,2,2,Trop complexe pour déclarer un sinistre
APPMOB-00099,CLI-42409,2025-05-06 11:22:18,iOS 2.4.1,Espace documentaire,Appréciation positive,4,3,5,5,Application très pratique
APPMOB-00100,CLI-44289,2025-04-25 11:22:18,Android 2.4.1,Notification,Bug signalé,1,1,2,1,Problème de connexion récurrent
APPMOB-00101,CLI-84913,2025-10-06 11:22:18,Android 2.3.5,Suivi de remboursement,Appréciation positive,4,3,3,5,Facile à utiliser
APPMOB-00102,CLI-53700,2025-06-07 11:22:18,Android 2.4.1,Simulation de devis,Appréciation positive,1,1,1,1,Facile à utiliser
APPMOB-00103,CLI-56049,2025-09-30 11:22:18,iOS 2.3.5,Paiement,Suggestion d'amélioration,3,4,3,3,Améliorer l'ergonomie
APPMOB-00104,CLI-94416,2025-09-22 11:22:18,Android 2.4.1,Déclaration de sinistre,Suggestion d'amélioration,2,2,2,3,Améliorer l'ergonomie
APPMOB-00105,CLI-32079,2025-08-30 11:22:18,Android 2.4.0,Consultation de contrats,Suggestion d'amélioration,5,5,5,5,Ajouter Touch ID/Face ID
APPMOB-00106,CLI-47450,2025-09-21 11:22:18,iOS 2.3.5,Espace documentaire,Bug signalé,5,4,4,5,L'application se ferme lors du paiement
APPMOB-00107,CLI-84089,2025-04-27 11:22:18,iOS 2.4.1,Consultation de contrats,Bug signalé,4,3,4,4,L'application se ferme lors du paiement
APPMOB-00108,CLI-76128,2025-06-08 11:22:18,Android 2.4.0,Notification,Appréciation positive,2,3,2,3,Application très pratique
APPMOB-00109,CLI-85506,2025-07-16 11:22:18,Android 2.4.0,Gestion de profil,Difficulté d'utilisation,1,1,1,2,Menu pas intuitif
APPMOB-00110,CLI-12845,2025-06-17 11:22:18,Android 2.4.1,Simulation de devis,Appréciation positive,3,3,3,4,Interface claire et intuitive
APPMOB-00111,CLI-22174,2025-08-30 11:22:18,Android 2.3.5,Déclaration de sinistre,Difficulté d'utilisation,4,3,5,4,Trop complexe pour déclarer un sinistre
APPMOB-00112,CLI-97432,2025-08-24 11:22:18,Android 2.4.1,Notification,Difficulté d'utilisation,1,2,2,1,Trop complexe pour déclarer un sinistre
APPMOB-00113,CLI-87767,2025-10-05 11:22:18,iOS 2.3.5,Paiement,Suggestion d'amélioration,3,4,2,4,Améliorer l'ergonomie
APPMOB-00114,CLI-11917,2025-08-03 11:22:18,iOS 2.4.0,Paiement,Difficulté d'utilisation,2,2,1,2,Menu pas intuitif
APPMOB-00115,CLI-56709,2025-05-16 11:22:18,Android 2.3.5,Consultation de contrats,Difficulté d'utilisation,3,2,3,2,Trop complexe pour déclarer un sinistre
APPMOB-00116,CLI-55707,2025-10-10 11:22:18,Android 2.4.0,Simulation de devis,Bug signalé,3,2,4,3,L'application se ferme lors du paiement
APPMOB-00117,CLI-27007,2025-05-28 11:22:18,Android 2.4.0,Déclaration de sinistre,Appréciation positive,4,3,5,4,Facile à utiliser
APPMOB-00118,CLI-79201,2025-06-18 11:22:18,Android 2.4.0,Déclaration de sinistre,Suggestion d'amélioration,2,2,2,3,Ajouter Touch ID/Face ID
APPMOB-00119,CLI-87454,2025-09-04 11:22:18,iOS 2.4.0,Paiement,Appréciation positive,5,5,5,5,Application très pratique
APPMOB-00120,CLI-35472,2025-05-27 11:22:18,iOS 2.4.0,Simulation de devis,Bug signalé,4,4,3,4,Notifications qui ne s'affichent pas
APPMOB-00121,CLI-70784,2025-10-17 11:22:18,iOS 2.4.1,Notification,Appréciation positive,2,3,3,2,Application très pratique
APPMOB-00122,CLI-48941,2025-07-01 11:22:18,iOS 2.4.0,Simulation de devis,Bug signalé,4,5,4,5,Notifications qui ne s'affichent pas
APPMOB-00123,CLI-64789,2025-05-07 11:22:18,Android 2.4.0,Déclaration de sinistre,Bug signalé,4,3,3,5,Notifications qui ne s'affichent pas
APPMOB-00124,CLI-42200,2025-10-15 11:22:18,Android 2.3.5,Notification,Suggestion d'amélioration,5,5,5,4,Ajouter mode sombre
APPMOB-00125,CLI-96417,2025-05-20 11:22:18,Android 2.4.1,Suivi de remboursement,Bug signalé,4,5,3,4,Impossible de télécharger les attestations
APPMOB-00126,CLI-63898,2025-07-23 11:22:18,iOS 2.4.0,Notification,Appréciation positive,3,3,4,3,Interface claire et intuitive
APPMOB-00127,CLI-62543,2025-08-26 11:22:18,iOS 2.4.0,Suivi de remboursement,Bug signalé,3,4,3,2,L'application se ferme lors du paiement
APPMOB-00128,CLI-53737,2025-09-18 11:22:18,iOS 2.4.1,Consultation de contrats,Suggestion d'amélioration,5,5,4,5,Ajouter Touch ID/Face ID
APPMOB-00129,CLI-71188,2025-05-25 11:22:18,iOS 2.4.1,Paiement,Appréciation positive,5,5,5,4,Interface claire et intuitive
APPMOB-00130,CLI-11806,2025-05-12 11:22:18,Android 2.4.1,Gestion de profil,Difficulté d'utilisation,4,3,4,4,Trop complexe pour déclarer un sinistre
APPMOB-00131,CLI-55433,2025-07-17 11:22:18,iOS 2.4.0,Gestion de profil,Bug signalé,4,5,5,5,L'application se ferme lors du paiement
APPMOB-00132,CLI-85210,2025-04-27 11:22:18,iOS 2.4.1,Suivi de remboursement,Difficulté d'utilisation,5,4,5,5,Trop complexe pour déclarer un sinistre
APPMOB-00133,CLI-85279,2025-05-07 11:22:18,iOS 2.3.5,Gestion de profil,Appréciation positive,5,5,5,5,Application très pratique
APPMOB-00134,CLI-14538,2025-06-09 11:22:18,Android 2.4.1,Gestion de profil,Difficulté d'utilisation,5,4,5,5,Menu pas intuitif
APPMOB-00135,CLI-84108,2025-07-05 11:22:18,Android 2.4.0,Suivi de remboursement,Suggestion d'amélioration,4,5,3,5,Ajouter mode sombre
APPMOB-00136,CLI-79142,2025-07-17 11:22:18,iOS 2.4.0,Suivi de remboursement,Suggestion d'amélioration,1,1,1,1,Ajouter mode sombre
APPMOB-00137,CLI-30023,2025-07-22 11:22:18,Android 2.3.5,Simulation de devis,Bug signalé,5,5,4,4,Notifications qui ne s'affichent pas
APPMOB-00138,CLI-53079,2025-06-22 11:22:18,iOS 2.4.1,Chat avec conseiller,Bug signalé,5,4,4,5,Impossible de télécharger les attestations
APPMOB-00139,CLI-17630,2025-08-16 11:22:18,Android 2.4.0,Simulation de devis,Difficulté d'utilisation,4,3,4,4,Trop complexe pour déclarer un sinistre
APPMOB-00140,CLI-33804,2025-05-02 11:22:18,Android 2.3.5,Gestion de profil,Suggestion d'amélioration,5,4,5,5,Améliorer l'ergonomie
APPMOB-00141,CLI-18103,2025-10-18 11:22:18,iOS 2.4.1,Notification,Suggestion d'amélioration,4,4,5,5,Ajouter mode sombre
APPMOB-00142,CLI-78800,2025-10-01 11:22:18,Android 2.4.1,Demande d'attestation,Appréciation positive,5,5,5,5,Facile à utiliser
APPMOB-00143,CLI-14649,2025-09-15 11:22:18,Android 2.4.0,Suivi de remboursement,Bug signalé,4,4,3,4,Problème de connexion récurrent
APPMOB-00144,CLI-54812,2025-09-02 11:22:18,iOS 2.4.0,Suivi de remboursement,Bug signalé,5,4,5,5,Problème de connexion récurrent
APPMOB-00145,CLI-52435,2025-04-29 11:22:18,iOS 2.3.5,Consultation de contrats,Difficulté d'utilisation,4,5,4,4,Menu pas intuitif
APPMOB-00146,CLI-52850,2025-07-25 11:22:18,iOS 2.4.1,Demande d'attestation,Difficulté d'utilisation,4,3,5,3,Menu pas intuitif
APPMOB-00147,CLI-61607,2025-10-18 11:22:18,iOS 2.4.0,Paiement,Difficulté d'utilisation,5,4,5,5,Trop complexe pour déclarer un sinistre
APPMOB-00148,CLI-48150,2025-09-13 11:22:18,Android 2.4.1,Notification,Appréciation positive,2,2,1,3,Application très pratique
APPMOB-00149,CLI-30789,2025-07-18 11:22:18,Android 2.3.5,Gestion de profil,Bug signalé,5,4,5,5,Problème de connexion récurrent
APPMOB-00150,CLI-32649,2025-07-25 11:22:18,Android 2.4.1,Suivi de remboursement,Bug signalé,3,3,3,2,Impossible de télécharger les attestations
APPMOB-00151,CLI-56678,2025-07-17 11:22:18,iOS 2.3.5,Chat avec conseiller,Appréciation positive,1,2,1,1,Facile à utiliser
APPMOB-00152,CLI-41219,2025-06-12 11:22:18,Android 2.3.5,Notification,Difficulté d'utilisation,3,4,4,4,Trop complexe pour déclarer un sinistre
APPMOB-00153,CLI-72056,2025-05-24 11:22:18,Android 2.4.0,Gestion de profil,Difficulté d'utilisation,5,4,5,5,Trop complexe pour déclarer un sinistre
APPMOB-00154,CLI-83773,2025-10-13 11:22:18,Android 2.3.5,Espace documentaire,Appréciation positive,5,5,5,5,Interface claire et intuitive
APPMOB-00155,CLI-34675,2025-10-14 11:22:18,iOS 2.4.1,Gestion de profil,Bug signalé,4,3,5,5,Problème de connexion récurrent
APPMOB-00156,CLI-93945,2025-10-15 11:22:18,Android 2.3.5,Suivi de remboursement,Difficulté d'utilisation,2,1,2,3,Trop complexe pour déclarer un sinistre
APPMOB-00157,CLI-69449,2025-05-28 11:22:18,iOS 2.4.1,Chat avec conseiller,Suggestion d'amélioration,4,3,5,3,Ajouter Touch ID/Face ID
APPMOB-00158,CLI-64116,2025-07-01 11:22:18,Android 2.4.0,Déclaration de sinistre,Bug signalé,2,1,3,1,Impossible de télécharger les attestations
APPMOB-00159,CLI-47193,2025-09-28 11:22:18,Android 2.4.0,Déclaration de sinistre,Suggestion d'amélioration,3,4,2,2,Ajouter mode sombre
APPMOB-00160,CLI-64379,2025-07-22 11:22:18,Android 2.4.0,Chat avec conseiller,Difficulté d'utilisation,2,3,3,1,Trop complexe pour déclarer un sinistre
APPMOB-00161,CLI-20374,2025-08-31 11:22:18,Android 2.3.5,Consultation de contrats,Suggestion d'amélioration,5,5,4,5,Ajouter Touch ID/Face ID
APPMOB-00162,CLI-60599,2025-08-16 11:22:18,iOS 2.4.0,Espace documentaire,Appréciation positive,5,4,4,5,Application très pratique
APPMOB-00163,CLI-42404,2025-08-17 11:22:18,Android 2.4.0,Suivi de remboursement,Suggestion d'amélioration,2,3,3,3,Ajouter Touch ID/Face ID
APPMOB-00164,CLI-87204,2025-07-03 11:22:18,iOS 2.4.0,Gestion de profil,Suggestion d'amélioration,1,2,1,2,Ajouter mode sombre
APPMOB-00165,CLI-18799,2025-09-12 11:22:18,iOS 2.4.0,Paiement,Appréciation positive,2,1,1,2,Facile à utiliser
