feedback_id,client_id,date_feedback,nps_score,categorie,profil_client,nb_contrats,a_eu_sinistre,a_contacte_service_client,utilise_app_mobile,commentaire
NPS-00001,CLI-53912,2025-07-01,3,Détracteur,Client depuis 3-5 ans,3 contrats,Oui,Non,Oui,Tarifs trop élevés
NPS-00002,CLI-29451,2025-09-21,7,Passif,Client depuis < 1 an,4+ contrats,Non,Non,Non,Pas de problème majeur
NPS-00003,CLI-18723,2025-08-11,9,Promoteur,Client depuis 3-5 ans,2 contrats,Non,Oui,Non,Conseiller toujours disponible et efficace
NPS-00004,CLI-77560,2025-07-17,9,Promoteur,Client depuis < 1 an,1 contrat,Non,Non,Non,Service client irréprochable
NPS-00005,CLI-37009,2025-05-11,7,Passif,Client depuis 5-10 ans,3 contrats,Non,Non,Oui,Service correct mais améliorable
NPS-00006,CLI-56753,2025-06-18,2,Détracteur,Client depuis 1-3 ans,4+ contrats,Oui,Oui,Oui,Tarifs trop élevés
NPS-00007,CLI-23489,2025-09-22,4,Détracteur,Client depuis 3-5 ans,2 contrats,Non,Oui,Oui,Trop de complications administratives
NPS-00008,CLI-11180,2025-08-29,10,Promoteur,Client depuis 5-10 ans,2 contrats,Oui,Oui,Non,Excellent rapport qualité/prix
NPS-00009,CLI-65965,2025-09-19,1,Détracteur,Client depuis 5-10 ans,2 contrats,Oui,Oui,Non,Tarifs trop élevés
NPS-00010,CLI-72916,2025-07-05,5,Détracteur,Client depuis 5-10 ans,4+ contrats,Non,Non,Non,Remboursements insuffisants
NPS-00011,CLI-76376,2025-06-12,8,Passif,Client depuis 1-3 ans,2 contrats,Oui,Oui,Oui,Service correct mais améliorable
NPS-00012,CLI-14445,2025-05-12,8,Passif,Client depuis < 1 an,4+ contrats,Non,Non,Non,Prix corrects mais pas les meilleurs
NPS-00013,CLI-41354,2025-09-15,6,Détracteur,Client depuis 5-10 ans,1 contrat,Oui,Oui,Non,Tarifs trop élevés
NPS-00014,CLI-28350,2025-05-18,9,Promoteur,Client depuis > 10 ans,3 contrats,Oui,Non,Non,Confiance totale
NPS-00015,CLI-29260,2025-05-05,8,Passif,Client depuis 1-3 ans,4+ contrats,Oui,Oui,Non,Pas de problème majeur
NPS-00016,CLI-52098,2025-09-18,9,Promoteur,Client depuis 1-3 ans,2 contrats,Oui,Oui,Non,Confiance totale
NPS-00017,CLI-20329,2025-05-31,6,Détracteur,Client depuis 3-5 ans,1 contrat,Oui,Non,Oui,Trop de complications administratives
NPS-00018,CLI-87225,2025-09-24,5,Détracteur,Client depuis 5-10 ans,2 contrats,Non,Oui,Non,Service client décevant
NPS-00019,CLI-28493,2025-08-14,6,Détracteur,Client depuis 1-3 ans,3 contrats,Oui,Non,Oui,Tarifs trop élevés
NPS-00020,CLI-52510,2025-07-02,1,Détracteur,Client depuis 1-3 ans,4+ contrats,Oui,Non,Non,Manque de transparence
NPS-00021,CLI-60578,2025-05-27,9,Promoteur,Client depuis 1-3 ans,2 contrats,Oui,Oui,Oui,Service client irréprochable
NPS-00022,CLI-75210,2025-06-18,10,Promoteur,Client depuis 5-10 ans,1 contrat,Non,Oui,Oui,Remboursements rapides et sans souci
NPS-00023,CLI-53708,2025-09-12,10,Promoteur,Client depuis 5-10 ans,2 contrats,Oui,Non,Oui,Conseiller toujours disponible et efficace
NPS-00024,CLI-77527,2025-07-05,8,Passif,Client depuis > 10 ans,4+ contrats,Non,Oui,Oui,Service correct mais améliorable
NPS-00025,CLI-42932,2025-06-27,10,Promoteur,Client depuis 3-5 ans,2 contrats,Oui,Non,Oui,Excellent rapport qualité/prix
NPS-00026,CLI-37203,2025-04-23,10,Promoteur,Client depuis 5-10 ans,4+ contrats,Oui,Oui,Oui,Excellent rapport qualité/prix
NPS-00027,CLI-41467,2025-05-22,8,Passif,Client depuis > 10 ans,1 contrat,Non,Oui,Oui,Pas de problème majeur
NPS-00028,CLI-26230,2025-07-29,5,Détracteur,Client depuis 5-10 ans,2 contrats,Non,Oui,Non,Service client décevant
NPS-00029,CLI-10476,2025-07-02,1,Détracteur,Client depuis 3-5 ans,2 contrats,Oui,Non,Non,Service client décevant
NPS-00030,CLI-46310,2025-06-07,8,Passif,Client depuis 1-3 ans,1 contrat,Non,Oui,Non,Pas de problème majeur
NPS-00031,CLI-21270,2025-09-08,2,Détracteur,Client depuis 3-5 ans,4+ contrats,Oui,Non,Oui,Remboursements insuffisants
NPS-00032,CLI-34995,2025-06-01,10,Promoteur,Client depuis 1-3 ans,3 contrats,Oui,Non,Oui,Remboursements rapides et sans souci
NPS-00033,CLI-77636,2025-07-20,3,Détracteur,Client depuis 5-10 ans,3 contrats,Oui,Non,Oui,Remboursements insuffisants
NPS-00034,CLI-89962,2025-08-26,4,Détracteur,Client depuis 5-10 ans,1 contrat,Oui,Oui,Non,Remboursements insuffisants
NPS-00035,CLI-85199,2025-09-01,4,Détracteur,Client depuis > 10 ans,4+ contrats,Oui,Oui,Non,Trop de complications administratives
NPS-00036,CLI-72922,2025-08-11,6,Détracteur,Client depuis 1-3 ans,2 contrats,Oui,Non,Oui,Tarifs trop élevés
NPS-00037,CLI-90769,2025-06-22,7,Passif,Client depuis > 10 ans,2 contrats,Non,Non,Non,Pas de problème majeur
NPS-00038,CLI-45114,2025-05-31,9,Promoteur,Client depuis 1-3 ans,2 contrats,Non,Oui,Non,Conseiller toujours disponible et efficace
NPS-00039,CLI-89592,2025-07-14,9,Promoteur,Client depuis 5-10 ans,3 contrats,Non,Oui,Non,Conseiller toujours disponible et efficace
NPS-00040,CLI-33644,2025-08-04,10,Promoteur,Client depuis > 10 ans,3 contrats,Oui,Oui,Non,Remboursements rapides et sans souci
NPS-00041,CLI-63298,2025-08-10,10,Promoteur,Client depuis < 1 an,2 contrats,Non,Oui,Oui,Excellent rapport qualité/prix
NPS-00042,CLI-48473,2025-06-20,9,Promoteur,Client depuis 1-3 ans,1 contrat,Non,Non,Non,Confiance totale
NPS-00043,CLI-24405,2025-05-02,4,Détracteur,Client depuis 3-5 ans,1 contrat,Oui,Non,Non,Service client décevant
NPS-00044,CLI-48800,2025-07-20,4,Détracteur,Client depuis 5-10 ans,1 contrat,Non,Non,Non,Trop de complications administratives
NPS-00045,CLI-17753,2025-06-22,10,Promoteur,Client depuis 1-3 ans,1 contrat,Oui,Oui,Non,Service client irréprochable
NPS-00046,CLI-18934,2025-09-13,2,Détracteur,Client depuis 5-10 ans,4+ contrats,Non,Non,Oui,Trop de complications administratives
NPS-00047,CLI-70910,2025-10-07,10,Promoteur,Client depuis < 1 an,4+ contrats,Oui,Non,Non,Confiance totale
NPS-00048,CLI-35491,2025-08-13,10,Promoteur,Client depuis 1-3 ans,1 contrat,Non,Oui,Non,Excellent rapport qualité/prix
NPS-00049,CLI-37082,2025-05-18,10,Promoteur,Client depuis > 10 ans,2 contrats,Non,Oui,Non,Remboursements rapides et sans souci
NPS-00050,CLI-38693,2025-10-05,8,Passif,Client depuis 5-10 ans,3 contrats,Oui,Oui,Non,Prix corrects mais pas les meilleurs
NPS-00051,CLI-23437,2025-08-24,7,Passif,Client depuis 3-5 ans,2 contrats,Oui,Oui,Non,Prix corrects mais pas les meilleurs
NPS-00052,CLI-20881,2025-08-04,5,Détracteur,Client depuis 5-10 ans,3 contrats,Oui,Non,Oui,Remboursements insuffisants
NPS-00053,CLI-75022,2025-09-29,7,Passif,Client depuis < 1 an,1 contrat,Oui,Non,Non,Prix corrects mais pas les meilleurs
NPS-00054,CLI-97245,2025-10-05,10,Promoteur,Client depuis 3-5 ans,3 contrats,Oui,Non,Oui,Conseiller toujours disponible et efficace
NPS-00055,CLI-45794,2025-05-19,9,Promoteur,Client depuis 5-10 ans,2 contrats,Non,Non,Oui,Service client irréprochable
NPS-00056,CLI-20209,2025-05-14,10,Promoteur,Client depuis 1-3 ans,1 contrat,Oui,Oui,Non,Confiance totale
NPS-00057,CLI-24940,2025-08-10,9,Promoteur,Client depuis 5-10 ans,2 contrats,Non,Oui,Oui,Remboursements rapides et sans souci
NPS-00058,CLI-87509,2025-08-02,8,Passif,Client depuis 3-5 ans,4+ contrats,Oui,Non,Oui,Prix corrects mais pas les meilleurs
NPS-00059,CLI-49283,2025-09-07,10,Promoteur,Client depuis 3-5 ans,2 contrats,Oui,Non,Non,Confiance totale
NPS-00060,CLI-24568,2025-04-29,4,Détracteur,Client depuis 5-10 ans,2 contrats,Oui,Oui,Oui,Service client décevant
NPS-00061,CLI-22106,2025-07-05,9,Promoteur,Client depuis > 10 ans,4+ contrats,Non,Oui,Non,Confiance totale
NPS-00062,CLI-98017,2025-07-22,4,Détracteur,Client depuis 1-3 ans,1 contrat,Oui,Non,Oui,Manque de transparence
NPS-00063,CLI-56935,2025-06-13,5,Détracteur,Client depuis < 1 an,3 contrats,Oui,Oui,Non,Trop de complications administratives
NPS-00064,CLI-58419,2025-07-18,5,Détracteur,Client depuis 5-10 ans,3 contrats,Non,Non,Oui,Tarifs trop élevés
NPS-00065,CLI-90710,2025-10-08,7,Passif,Client depuis 1-3 ans,4+ contrats,Non,Non,Oui,Service correct mais améliorable
NPS-00066,CLI-95977,2025-07-03,0,Détracteur,Client depuis > 10 ans,3 contrats,Non,Oui,Oui,Trop de complications administratives
NPS-00067,CLI-45829,2025-06-27,9,Promoteur,Client depuis < 1 an,1 contrat,Non,Oui,Oui,Service client irréprochable
NPS-00068,CLI-68513,2025-04-24,9,Promoteur,Client depuis 5-10 ans,1 contrat,Non,Oui,Oui,Remboursements rapides et sans souci
NPS-00069,CLI-78632,2025-07-10,0,Détracteur,Client depuis 5-10 ans,4+ contrats,Non,Oui,Non,Tarifs trop élevés
NPS-00070,CLI-11258,2025-05-03,9,Promoteur,Client depuis 3-5 ans,3 contrats,Non,Non,Non,Remboursements rapides et sans souci
NPS-00071,CLI-66901,2025-07-22,8,Passif,Client depuis 5-10 ans,3 contrats,Non,Oui,Non,Satisfait sans plus
NPS-00072,CLI-72417,2025-09-25,9,Promoteur,Client depuis 3-5 ans,2 contrats,Non,Non,Oui,Confiance totale
NPS-00073,CLI-59745,2025-09-11,10,Promoteur,Client depuis 3-5 ans,4+ contrats,Non,Non,Oui,Excellent rapport qualité/prix
NPS-00074,CLI-15979,2025-04-25,9,Promoteur,Client depuis < 1 an,1 contrat,Oui,Oui,Oui,Service client irréprochable
NPS-00075,CLI-64411,2025-05-27,7,Passif,Client depuis < 1 an,4+ contrats,Oui,Non,Non,Service correct mais améliorable
NPS-00076,CLI-64627,2025-04-26,8,Passif,Client depuis > 10 ans,3 contrats,Oui,Non,Non,Prix corrects mais pas les meilleurs
NPS-00077,CLI-44028,2025-05-12,7,Passif,Client depuis 3-5 ans,4+ contrats,Oui,Oui,Non,Satisfait sans plus
NPS-00078,CLI-64387,2025-07-06,2,Détracteur,Client depuis 1-3 ans,1 contrat,Oui,Non,Non,Manque de transparence
NPS-00079,CLI-56465,2025-07-27,8,Passif,Client depuis > 10 ans,4+ contrats,Oui,Non,Oui,Satisfait sans plus
NPS-00080,CLI-15079,2025-10-11,2,Détracteur,Client depuis 3-5 ans,1 contrat,Oui,Non,Non,Trop de complications administratives
NPS-00081,CLI-43076,2025-06-15,9,Promoteur,Client depuis 5-10 ans,2 contrats,Non,Oui,Non,Remboursements rapides et sans souci
NPS-00082,CLI-60095,2025-10-02,9,Promoteur,Client depuis 3-5 ans,1 contrat,Non,Oui,Non,Service client irréprochable
NPS-00083,CLI-15594,2025-07-09,10,Promoteur,Client depuis > 10 ans,2 contrats,Oui,Oui,Non,Remboursements rapides et sans souci
NPS-00084,CLI-10735,2025-07-15,10,Promoteur,Client depuis > 10 ans,1 contrat,Oui,Oui,Oui,Conseiller toujours disponible et efficace
NPS-00085,CLI-46662,2025-04-25,6,Détracteur,Client depuis > 10 ans,3 contrats,Oui,Non,Non,Tarifs trop élevés
NPS-00086,CLI-82960,2025-08-25,4,Détracteur,Client depuis 3-5 ans,4+ contrats,Non,Oui,Non,Manque de transparence
NPS-00087,CLI-80717,2025-07-13,8,Passif,Client depuis 5-10 ans,4+ contrats,Oui,Non,Non,Pas de problème majeur
NPS-00088,CLI-33403,2025-06-11,10,Promoteur,Client depuis < 1 an,1 contrat,Non,Non,Non,Conseiller toujours disponible et efficace
NPS-00089,CLI-10867,2025-07-24,0,Détracteur,Client depuis > 10 ans,2 contrats,Oui,Oui,Non,Remboursements insuffisants
NPS-00090,CLI-47483,2025-06-19,7,Passif,Client depuis > 10 ans,3 contrats,Non,Oui,Oui,Pas de problème majeur
NPS-00091,CLI-11502,2025-10-01,6,Détracteur,Client depuis < 1 an,4+ contrats,Oui,Non,Non,Trop de complications administratives
NPS-00092,CLI-70051,2025-05-19,8,Passif,Client depuis > 10 ans,1 contrat,Non,Oui,Non,Prix corrects mais pas les meilleurs
NPS-00093,CLI-15545,2025-06-28,8,Passif,Client depuis < 1 an,4+ contrats,Oui,Non,Non,Satisfait sans plus
NPS-00094,CLI-66266,2025-08-27,8,Passif,Client depuis 1-3 ans,1 contrat,Non,Non,Oui,Pas de problème majeur
NPS-00095,CLI-60574,2025-05-31,9,Promoteur,Client depuis 5-10 ans,2 contrats,Non,Oui,Oui,Confiance totale
NPS-00096,CLI-27059,2025-07-17,7,Passif,Client depuis < 1 an,1 contrat,Oui,Oui,Oui,Pas de problème majeur
NPS-00097,CLI-92958,2025-09-08,10,Promoteur,Client depuis 3-5 ans,1 contrat,Oui,Non,Oui,Confiance totale
NPS-00098,CLI-29389,2025-07-16,9,Promoteur,Client depuis 5-10 ans,1 contrat,Oui,Oui,Oui,Confiance totale
NPS-00099,CLI-68327,2025-05-04,6,Détracteur,Client depuis 3-5 ans,4+ contrats,Non,Non,Non,Manque de transparence
NPS-00100,CLI-70748,2025-09-11,1,Détracteur,Client depuis 5-10 ans,1 contrat,Oui,Non,Non,Trop de complications administratives
NPS-00101,CLI-19049,2025-08-01,7,Passif,Client depuis 3-5 ans,1 contrat,Oui,Non,Non,Satisfait sans plus
NPS-00102,CLI-43997,2025-05-16,9,Promoteur,Client depuis < 1 an,3 contrats,Oui,Non,Oui,Conseiller toujours disponible et efficace
NPS-00103,CLI-15898,2025-04-29,8,Passif,Client depuis 1-3 ans,1 contrat,Oui,Oui,Oui,Pas de problème majeur
NPS-00104,CLI-59134,2025-05-06,6,Détracteur,Client depuis 3-5 ans,1 contrat,Oui,Non,Oui,Tarifs trop élevés
NPS-00105,CLI-30045,2025-08-17,10,Promoteur,Client depuis 1-3 ans,2 contrats,Non,Non,Oui,Service client irréprochable
NPS-00106,CLI-55099,2025-06-18,9,Promoteur,Client depuis 3-5 ans,2 contrats,Non,Non,Oui,Confiance totale
NPS-00107,CLI-94360,2025-08-28,10,Promoteur,Client depuis 5-10 ans,1 contrat,Non,Non,Oui,Conseiller toujours disponible et efficace
NPS-00108,CLI-73432,2025-08-26,7,Passif,Client depuis 5-10 ans,1 contrat,Oui,Non,Oui,Pas de problème majeur
NPS-00109,CLI-67963,2025-06-17,6,Détracteur,Client depuis 1-3 ans,2 contrats,Oui,Non,Oui,Remboursements insuffisants
NPS-00110,CLI-73664,2025-05-30,4,Détracteur,Client depuis < 1 an,3 contrats,Oui,Non,Non,Manque de transparence
NPS-00111,CLI-40035,2025-08-19,2,Détracteur,Client depuis < 1 an,3 contrats,Non,Oui,Oui,Remboursements insuffisants
NPS-00112,CLI-91261,2025-05-22,4,Détracteur,Client depuis > 10 ans,2 contrats,Non,Oui,Non,Remboursements insuffisants
NPS-00113,CLI-52820,2025-06-11,3,Détracteur,Client depuis 3-5 ans,3 contrats,Oui,Non,Oui,Trop de complications administratives
NPS-00114,CLI-22012,2025-08-02,10,Promoteur,Client depuis > 10 ans,1 contrat,Non,Non,Non,Excellent rapport qualité/prix
NPS-00115,CLI-34574,2025-05-09,1,Détracteur,Client depuis < 1 an,4+ contrats,Non,Non,Non,Manque de transparence
NPS-00116,CLI-24605,2025-07-08,2,Détracteur,Client depuis 1-3 ans,1 contrat,Oui,Non,Oui,Remboursements insuffisants
NPS-00117,CLI-25329,2025-05-28,2,Détracteur,Client depuis > 10 ans,4+ contrats,Oui,Oui,Non,Manque de transparence
NPS-00118,CLI-42758,2025-07-03,5,Détracteur,Client depuis 3-5 ans,2 contrats,Non,Non,Non,Manque de transparence
NPS-00119,CLI-86436,2025-07-03,9,Promoteur,Client depuis < 1 an,1 contrat,Non,Non,Oui,Remboursements rapides et sans souci
NPS-00120,CLI-31530,2025-09-12,8,Passif,Client depuis < 1 an,1 contrat,Oui,Oui,Oui,Satisfait sans plus
NPS-00121,CLI-43593,2025-09-10,9,Promoteur,Client depuis 1-3 ans,2 contrats,Oui,Non,Oui,Excellent rapport qualité/prix
NPS-00122,CLI-41585,2025-05-10,7,Passif,Client depuis 5-10 ans,1 contrat,Oui,Oui,Oui,Prix corrects mais pas les meilleurs
NPS-00123,CLI-37192,2025-06-04,8,Passif,Client depuis 1-3 ans,3 contrats,Non,Non,Oui,Prix corrects mais pas les meilleurs
NPS-00124,CLI-94958,2025-05-19,8,Passif,Client depuis 3-5 ans,2 contrats,Non,Non,Non,Satisfait sans plus
NPS-00125,CLI-82841,2025-08-28,8,Passif,Client depuis 1-3 ans,1 contrat,Non,Non,Non,Satisfait sans plus
NPS-00126,CLI-11801,2025-09-11,5,Détracteur,Client depuis 5-10 ans,4+ contrats,Oui,Oui,Oui,Manque de transparence
NPS-00127,CLI-92968,2025-06-26,3,Détracteur,Client depuis 5-10 ans,1 contrat,Oui,Oui,Oui,Service client décevant
NPS-00128,CLI-90237,2025-10-14,4,Détracteur,Client depuis 1-3 ans,3 contrats,Oui,Non,Non,Remboursements insuffisants
NPS-00129,CLI-16596,2025-06-06,4,Détracteur,Client depuis > 10 ans,1 contrat,Non,Oui,Non,Remboursements insuffisants
NPS-00130,CLI-75910,2025-06-19,9,Promoteur,Client depuis 5-10 ans,1 contrat,Oui,Non,Non,Confiance totale
NPS-00131,CLI-73329,2025-10-16,10,Promoteur,Client depuis 3-5 ans,2 contrats,Non,Non,Non,Remboursements rapides et sans souci
NPS-00132,CLI-22512,2025-06-07,10,Promoteur,Client depuis 1-3 ans,2 contrats,Oui,Oui,Non,Conseiller toujours disponible et efficace
NPS-00133,CLI-23110,2025-08-04,9,Promoteur,Client depuis 3-5 ans,1 contrat,Non,Non,Oui,Conseiller toujours disponible et efficace
NPS-00134,CLI-54037,2025-05-29,8,Passif,Client depuis < 1 an,1 contrat,Non,Non,Non,Prix corrects mais pas les meilleurs
NPS-00135,CLI-89417,2025-08-07,6,Détracteur,Client depuis < 1 an,2 contrats,Oui,Oui,Oui,Tarifs trop élevés
NPS-00136,CLI-63049,2025-06-20,3,Détracteur,Client depuis > 10 ans,2 contrats,Non,Non,Oui,Remboursements insuffisants
NPS-00137,CLI-92528,2025-09-02,5,Détracteur,Client depuis > 10 ans,4+ contrats,Non,Oui,Oui,Tarifs trop élevés
NPS-00138,CLI-33897,2025-09-19,7,Passif,Client depuis 1-3 ans,1 contrat,Non,Non,Non,Pas de problème majeur
NPS-00139,CLI-68729,2025-05-03,8,Passif,Client depuis 3-5 ans,2 contrats,Oui,Oui,Non,Pas de problème majeur
NPS-00140,CLI-96503,2025-05-10,4,Détracteur,Client depuis > 10 ans,2 contrats,Oui,Oui,Oui,Manque de transparence
NPS-00141,CLI-47637,2025-08-01,10,Promoteur,Client depuis 3-5 ans,1 contrat,Oui,Oui,Oui,Excellent rapport qualité/prix
NPS-00142,CLI-70249,2025-09-14,6,Détracteur,Client depuis 5-10 ans,4+ contrats,Non,Non,Oui,Tarifs trop élevés
NPS-00143,CLI-83296,2025-09-08,8,Passif,Client depuis 3-5 ans,1 contrat,Oui,Non,Oui,Pas de problème majeur
NPS-00144,CLI-19835,2025-08-16,4,Détracteur,Client depuis 1-3 ans,4+ contrats,Non,Oui,Non,Trop de complications administratives
NPS-00145,CLI-98162,2025-07-09,6,Détracteur,Client depuis < 1 an,3 contrats,Non,Non,Non,Tarifs trop élevés
NPS-00146,CLI-55051,2025-09-17,10,Promoteur,Client depuis 1-3 ans,2 contrats,Non,Non,Non,Remboursements rapides et sans souci
NPS-00147,CLI-93588,2025-08-19,1,Détracteur,Client depuis 3-5 ans,4+ contrats,Oui,Non,Oui,Remboursements insuffisants
NPS-00148,CLI-20479,2025-08-04,9,Promoteur,Client depuis 5-10 ans,3 contrats,Oui,Non,Oui,Confiance totale
NPS-00149,CLI-54827,2025-06-05,3,Détracteur,Client depuis > 10 ans,2 contrats,Oui,Oui,Oui,Remboursements insuffisants
NPS-00150,CLI-51266,2025-06-01,8,Passif,Client depuis < 1 an,2 contrats,Non,Non,Non,Service correct mais améliorable
NPS-00151,CLI-62293,2025-05-01,4,Détracteur,Client depuis > 10 ans,1 contrat,Non,Non,Oui,Tarifs trop élevés
NPS-00152,CLI-16723,2025-10-12,7,Passif,Client depuis > 10 ans,4+ contrats,Non,Non,Non,Satisfait sans plus
NPS-00153,CLI-90366,2025-08-14,0,Détracteur,Client depuis 5-10 ans,1 contrat,Non,Non,Oui,Tarifs trop élevés
NPS-00154,CLI-75986,2025-08-02,9,Promoteur,Client depuis 1-3 ans,4+ contrats,Oui,Non,Non,Remboursements rapides et sans souci
NPS-00155,CLI-68560,2025-08-15,7,Passif,Client depuis < 1 an,1 contrat,Non,Oui,Non,Satisfait sans plus
NPS-00156,CLI-11997,2025-06-02,10,Promoteur,Client depuis 5-10 ans,1 contrat,Non,Non,Oui,Excellent rapport qualité/prix
NPS-00157,CLI-26089,2025-10-18,10,Promoteur,Client depuis < 1 an,1 contrat,Non,Non,Non,Conseiller toujours disponible et efficace
NPS-00158,CLI-46988,2025-10-09,3,Détracteur,Client depuis > 10 ans,2 contrats,Non,Oui,Non,Service client décevant
NPS-00159,CLI-98230,2025-05-15,9,Promoteur,Client depuis > 10 ans,1 contrat,Non,Oui,Oui,Conseiller toujours disponible et efficace
NPS-00160,CLI-58290,2025-07-22,9,Promoteur,Client depuis 1-3 ans,4+ contrats,Non,Oui,Non,Remboursements rapides et sans souci
NPS-00161,CLI-55463,2025-10-17,10,Promoteur,Client depuis 1-3 ans,4+ contrats,Oui,Oui,Non,Conseiller toujours disponible et efficace
NPS-00162,CLI-80652,2025-07-30,4,Détracteur,Client depuis 3-5 ans,1 contrat,Oui,Non,Non,Tarifs trop élevés
NPS-00163,CLI-10905,2025-05-10,10,Promoteur,Client depuis 5-10 ans,3 contrats,Non,Oui,Non,Remboursements rapides et sans souci
NPS-00164,CLI-46397,2025-06-29,6,Détracteur,Client depuis > 10 ans,2 contrats,Non,Oui,Non,Trop de complications administratives
NPS-00165,CLI-33095,2025-06-04,9,Promoteur,Client depuis 1-3 ans,4+ contrats,Oui,Non,Non,Remboursements rapides et sans souci
NPS-00166,CLI-40743,2025-06-12,7,Passif,Client depuis 1-3 ans,2 contrats,Non,Oui,Oui,Satisfait sans plus
