feedback_id,client_id,date_feedback,motif_contact,canal,temps_attente,temps_resolution,note_globale,note_rapidite,note_competence,note_amabilite,probleme_resolu,commentaire
SVCLI-00001,CLI-22734,2025-05-01,Résiliation,Téléphone,< 2 min,< 24h,1,1,2,1,Non,Pas de rappel comme promis
SVCLI-00002,CLI-19257,2025-05-15,Modification de contrat,Agence,10-20 min,Immédiat,5,4,5,4,Oui,Conseiller très efficace et sympathique
SVCLI-00003,CLI-90977,2025-05-14,Question technique app/site,Application mobile,5-10 min,Immédiat,4,4,4,4,Oui,Conseiller compétent
SVCLI-00004,CLI-67214,2025-06-12,Suivi de dossier,Application mobile,10-20 min,> 7 jours,4,5,3,4,Oui,Prise en charge rapide
SVCLI-00005,CLI-90626,2025-06-26,Question sur contrat,Email,2-5 min,Immédiat,3,3,2,3,Partiellement,Information contradictoire
SVCLI-00006,CLI-89716,2025-10-15,Question sur contrat,Formulaire web,< 2 min,1-3 jours,5,5,5,4,Oui,Conseiller très efficace et sympathique
SVCLI-00007,CLI-40773,2025-07-26,Problème de paiement,Chat en ligne,< 2 min,Immédiat,3,3,4,3,Partiellement,Problème non résolu
SVCLI-00008,CLI-91665,2025-07-24,Renouvellement,Email,10-20 min,Immédiat,5,5,4,5,Oui,Professionnel et courtois
SVCLI-00009,CLI-73939,2025-07-17,Suivi de dossier,Chat en ligne,< 2 min,Immédiat,1,1,1,2,Non,Pas de rappel comme promis
SVCLI-00010,CLI-14546,2025-08-24,Réclamation,Chat en ligne,< 2 min,< 24h,1,2,1,1,Non,Réponse évasive
SVCLI-00011,CLI-21242,2025-09-16,Réclamation,Chat en ligne,5-10 min,< 24h,5,5,5,5,Oui,Prise en charge rapide
SVCLI-00012,CLI-66763,2025-08-10,Problème de paiement,Formulaire web,5-10 min,< 24h,3,2,4,3,Partiellement,Réponse évasive
SVCLI-00013,CLI-63468,2025-06-11,Question sur contrat,Chat en ligne,2-5 min,< 24h,4,4,4,4,Oui,Service de qualité
SVCLI-00014,CLI-42349,2025-10-08,Demande d'attestation,Email,2-5 min,> 7 jours,1,1,1,1,Non,Problème non résolu
SVCLI-00015,CLI-81951,2025-08-21,Modification de contrat,Agence,5-10 min,Immédiat,5,5,5,5,Oui,Conseiller très efficace et sympathique
SVCLI-00016,CLI-40471,2025-10-02,Question technique app/site,Email,5-10 min,Immédiat,1,1,1,1,Non,Réponse évasive
SVCLI-00017,CLI-92765,2025-07-12,Question sur contrat,Application mobile,> 20 min,< 24h,4,5,5,4,Oui,Prise en charge rapide
SVCLI-00018,CLI-73412,2025-06-22,Modification de contrat,Téléphone,5-10 min,Immédiat,3,2,4,3,Partiellement,Pas de rappel comme promis
SVCLI-00019,CLI-49916,2025-09-07,Demande de devis,Application mobile,< 2 min,> 7 jours,1,1,2,2,Non,Réponse évasive
SVCLI-00020,CLI-72917,2025-04-22,Résiliation,Chat en ligne,5-10 min,1-3 jours,4,5,3,4,Oui,Professionnel et courtois
SVCLI-00021,CLI-80055,2025-09-27,Résiliation,Formulaire web,< 2 min,Immédiat,4,5,5,4,Oui,Réponse rapide et précise
SVCLI-00022,CLI-85664,2025-09-06,Question sur contrat,Chat en ligne,< 2 min,> 7 jours,4,5,3,5,Oui,Disponibilité appréciée
SVCLI-00023,CLI-73734,2025-10-16,Question technique app/site,Application mobile,< 2 min,3-7 jours,5,5,5,5,Oui,Professionnel et courtois
SVCLI-00024,CLI-79136,2025-07-15,Résiliation,Agence,10-20 min,3-7 jours,4,4,4,3,Oui,Conseiller compétent
SVCLI-00025,CLI-59686,2025-05-13,Suivi de dossier,Formulaire web,5-10 min,Immédiat,2,3,1,3,Non,Conseiller pas assez informé
SVCLI-00026,CLI-51898,2025-08-09,Question technique app/site,Formulaire web,2-5 min,Immédiat,4,3,3,4,Oui,Conseiller très efficace et sympathique
SVCLI-00027,CLI-12567,2025-04-21,Réclamation,Email,10-20 min,> 7 jours,2,1,2,1,Non,Conseiller pas assez informé
SVCLI-00028,CLI-96636,2025-06-28,Demande de devis,Formulaire web,> 20 min,3-7 jours,4,3,5,5,Oui,Service de qualité
SVCLI-00029,CLI-16888,2025-06-04,Réclamation,Email,> 20 min,< 24h,4,4,5,5,Oui,Conseiller très efficace et sympathique
SVCLI-00030,CLI-33220,2025-08-20,Question technique app/site,Application mobile,5-10 min,3-7 jours,1,2,2,1,Non,Pas de rappel comme promis
SVCLI-00031,CLI-94843,2025-06-23,Information sur garanties,Téléphone,< 2 min,Immédiat,5,4,5,4,Oui,Conseiller compétent
SVCLI-00032,CLI-63998,2025-10-02,Question technique app/site,Téléphone,< 2 min,Immédiat,4,3,3,5,Oui,Réponse rapide et précise
SVCLI-00033,CLI-97826,2025-08-24,Résiliation,Application mobile,10-20 min,> 7 jours,4,5,4,3,Oui,Problème résolu immédiatement
SVCLI-00034,CLI-70598,2025-09-12,Demande d'attestation,Téléphone,2-5 min,1-3 jours,4,4,5,5,Oui,Conseiller très efficace et sympathique
SVCLI-00035,CLI-18370,2025-08-27,Demande d'attestation,Agence,< 2 min,> 7 jours,4,4,5,4,Oui,Très bonne écoute
SVCLI-00036,CLI-50114,2025-07-08,Question sur contrat,Application mobile,10-20 min,1-3 jours,4,3,3,4,Oui,Prise en charge rapide
SVCLI-00037,CLI-50232,2025-09-07,Demande de devis,Application mobile,10-20 min,3-7 jours,4,5,3,3,Oui,Problème résolu immédiatement
SVCLI-00038,CLI-49432,2025-06-10,Déclaration de sinistre,Formulaire web,> 20 min,1-3 jours,4,5,3,3,Oui,Réponse rapide et précise
SVCLI-00039,CLI-41117,2025-06-24,Modification de contrat,Chat en ligne,> 20 min,1-3 jours,4,4,5,5,Oui,Conseiller compétent
SVCLI-00040,CLI-13804,2025-08-25,Modification de contrat,Agence,10-20 min,> 7 jours,3,2,2,2,Partiellement,Problème non résolu
SVCLI-00041,CLI-75221,2025-08-25,Question technique app/site,Téléphone,10-20 min,> 7 jours,1,1,1,1,Non,Information contradictoire
SVCLI-00042,CLI-79995,2025-08-01,Suivi de dossier,Email,> 20 min,Immédiat,2,2,1,3,Non,Information contradictoire
SVCLI-00043,CLI-87047,2025-06-09,Modification de contrat,Chat en ligne,10-20 min,Immédiat,5,5,5,5,Oui,Disponibilité appréciée
SVCLI-00044,CLI-41212,2025-05-15,Demande d'attestation,Email,2-5 min,< 24h,3,3,3,4,Partiellement,Réponse évasive
SVCLI-00045,CLI-42190,2025-08-23,Problème de paiement,Chat en ligne,5-10 min,Immédiat,4,3,4,3,Oui,Conseiller compétent
SVCLI-00046,CLI-67255,2025-07-12,Question sur contrat,Email,10-20 min,1-3 jours,1,1,1,1,Non,Transféré plusieurs fois
SVCLI-00047,CLI-60650,2025-09-07,Modification de contrat,Formulaire web,10-20 min,> 7 jours,4,3,5,3,Oui,Réponse rapide et précise
SVCLI-00048,CLI-36652,2025-07-02,Modification de contrat,Application mobile,< 2 min,3-7 jours,3,4,4,4,Partiellement,Service décevant
SVCLI-00049,CLI-65333,2025-08-07,Modification de contrat,Chat en ligne,2-5 min,< 24h,4,3,3,5,Oui,Professionnel et courtois
SVCLI-00050,CLI-31360,2025-05-30,Renouvellement,Chat en ligne,2-5 min,3-7 jours,4,4,4,5,Oui,Prise en charge rapide
SVCLI-00051,CLI-90413,2025-07-03,Problème de paiement,Formulaire web,10-20 min,> 7 jours,4,3,4,3,Oui,Explications claires
SVCLI-00052,CLI-48759,2025-07-13,Problème de paiement,Application mobile,< 2 min,> 7 jours,5,4,4,4,Oui,Explications claires
SVCLI-00053,CLI-31521,2025-06-16,Renouvellement,Chat en ligne,5-10 min,3-7 jours,2,2,3,2,Non,Toujours en attente de solution
SVCLI-00054,CLI-31312,2025-08-18,Question technique app/site,Email,< 2 min,3-7 jours,4,3,4,5,Oui,Service de qualité
SVCLI-00055,CLI-69567,2025-07-14,Suivi de dossier,Formulaire web,2-5 min,3-7 jours,3,2,3,3,Partiellement,Information contradictoire
SVCLI-00056,CLI-59394,2025-09-06,Question technique app/site,Email,< 2 min,Immédiat,3,3,2,2,Partiellement,Temps d'attente beaucoup trop long
SVCLI-00057,CLI-64830,2025-09-30,Renouvellement,Chat en ligne,< 2 min,3-7 jours,2,1,2,2,Non,Conseiller pas assez informé
SVCLI-00058,CLI-72062,2025-08-29,Information sur garanties,Email,10-20 min,< 24h,3,2,2,2,Partiellement,Toujours en attente de solution
SVCLI-00059,CLI-45180,2025-08-05,Demande de devis,Téléphone,5-10 min,3-7 jours,3,2,2,4,Partiellement,Information contradictoire
SVCLI-00060,CLI-12358,2025-09-20,Information sur garanties,Application mobile,< 2 min,3-7 jours,3,4,3,3,Partiellement,Conseiller pas assez informé
SVCLI-00061,CLI-20808,2025-09-25,Information sur garanties,Formulaire web,5-10 min,> 7 jours,1,1,1,1,Non,Problème non résolu
SVCLI-00062,CLI-75956,2025-09-25,Renouvellement,Email,5-10 min,< 24h,3,3,3,2,Partiellement,Service décevant
SVCLI-00063,CLI-40246,2025-04-27,Information sur garanties,Application mobile,5-10 min,Immédiat,4,5,4,4,Oui,Professionnel et courtois
SVCLI-00064,CLI-23221,2025-10-11,Demande d'attestation,Formulaire web,2-5 min,1-3 jours,3,4,3,3,Partiellement,Temps d'attente beaucoup trop long
SVCLI-00065,CLI-59430,2025-06-18,Demande d'attestation,Application mobile,5-10 min,Immédiat,5,4,4,5,Oui,Conseiller compétent
SVCLI-00066,CLI-24791,2025-08-17,Déclaration de sinistre,Formulaire web,2-5 min,< 24h,4,4,3,4,Oui,Disponibilité appréciée
SVCLI-00067,CLI-60351,2025-06-20,Déclaration de sinistre,Chat en ligne,5-10 min,> 7 jours,5,5,5,5,Oui,Explications claires
SVCLI-00068,CLI-74836,2025-06-18,Question technique app/site,Agence,10-20 min,Immédiat,5,5,5,4,Oui,Réponse rapide et précise
SVCLI-00069,CLI-81291,2025-08-10,Question sur contrat,Formulaire web,2-5 min,3-7 jours,3,4,3,4,Partiellement,Pas de rappel comme promis
SVCLI-00070,CLI-38749,2025-10-04,Suivi de dossier,Formulaire web,2-5 min,3-7 jours,5,5,5,5,Oui,Prise en charge rapide
SVCLI-00071,CLI-14805,2025-08-21,Déclaration de sinistre,Chat en ligne,< 2 min,Immédiat,1,2,1,1,Non,Manque d'empathie
SVCLI-00072,CLI-59039,2025-06-07,Question sur contrat,Agence,5-10 min,< 24h,3,2,3,3,Partiellement,Conseiller pas assez informé
SVCLI-00073,CLI-69218,2025-05-18,Question technique app/site,Chat en ligne,< 2 min,> 7 jours,1,1,1,1,Non,Pas de rappel comme promis
SVCLI-00074,CLI-40383,2025-08-21,Renouvellement,Formulaire web,> 20 min,3-7 jours,5,5,4,5,Oui,Prise en charge rapide
SVCLI-00075,CLI-61043,2025-06-30,Information sur garanties,Téléphone,5-10 min,< 24h,4,5,5,3,Oui,Conseiller très efficace et sympathique
SVCLI-00076,CLI-88162,2025-06-24,Déclaration de sinistre,Agence,< 2 min,1-3 jours,4,3,3,5,Oui,Prise en charge rapide
SVCLI-00077,CLI-34126,2025-07-09,Résiliation,Application mobile,< 2 min,1-3 jours,2,2,1,2,Non,Manque d'empathie
SVCLI-00078,CLI-53210,2025-06-16,Réclamation,Email,5-10 min,Immédiat,4,3,4,4,Oui,Conseiller très efficace et sympathique
SVCLI-00079,CLI-64237,2025-09-10,Question technique app/site,Agence,10-20 min,> 7 jours,5,4,5,5,Oui,Service de qualité
SVCLI-00080,CLI-98250,2025-07-27,Suivi de dossier,Application mobile,2-5 min,< 24h,5,4,5,5,Oui,Conseiller très efficace et sympathique
SVCLI-00081,CLI-12295,2025-06-21,Suivi de dossier,Chat en ligne,2-5 min,< 24h,4,5,5,3,Oui,Professionnel et courtois
SVCLI-00082,CLI-77055,2025-07-17,Problème de paiement,Application mobile,5-10 min,1-3 jours,5,4,5,4,Oui,Service de qualité
SVCLI-00083,CLI-17819,2025-07-12,Demande de devis,Email,2-5 min,3-7 jours,4,4,5,5,Oui,Professionnel et courtois
SVCLI-00084,CLI-58389,2025-06-11,Suivi de dossier,Formulaire web,> 20 min,Immédiat,4,5,4,4,Oui,Service de qualité
SVCLI-00085,CLI-28633,2025-05-16,Question sur contrat,Chat en ligne,10-20 min,< 24h,4,5,4,3,Oui,Réponse rapide et précise
SVCLI-00086,CLI-97290,2025-08-13,Problème de paiement,Agence,5-10 min,3-7 jours,1,1,1,2,Non,Conseiller pas assez informé
SVCLI-00087,CLI-85103,2025-05-11,Déclaration de sinistre,Chat en ligne,< 2 min,< 24h,4,5,5,4,Oui,Conseiller compétent
SVCLI-00088,CLI-70977,2025-07-18,Demande d'attestation,Téléphone,> 20 min,1-3 jours,4,5,4,3,Oui,Très bonne écoute
SVCLI-00089,CLI-93654,2025-09-20,Résiliation,Téléphone,> 20 min,Immédiat,4,4,5,4,Oui,Professionnel et courtois
SVCLI-00090,CLI-10728,2025-05-14,Suivi de dossier,Agence,5-10 min,> 7 jours,2,2,1,3,Non,Manque d'empathie
SVCLI-00091,CLI-28325,2025-09-11,Réclamation,Application mobile,2-5 min,> 7 jours,4,5,4,5,Oui,Prise en charge rapide
SVCLI-00092,CLI-74286,2025-08-24,Déclaration de sinistre,Agence,< 2 min,Immédiat,3,3,4,3,Partiellement,Transféré plusieurs fois
SVCLI-00093,CLI-90334,2025-08-28,Réclamation,Chat en ligne,> 20 min,Immédiat,4,5,5,3,Oui,Problème résolu immédiatement
SVCLI-00094,CLI-37874,2025-07-03,Information sur garanties,Application mobile,5-10 min,Immédiat,4,3,5,5,Oui,Réponse rapide et précise
SVCLI-00095,CLI-43843,2025-06-28,Modification de contrat,Chat en ligne,2-5 min,Immédiat,5,5,5,5,Oui,Conseiller très efficace et sympathique
SVCLI-00096,CLI-48916,2025-05-10,Problème de paiement,Formulaire web,10-20 min,> 7 jours,5,4,5,5,Oui,Réponse rapide et précise
SVCLI-00097,CLI-53728,2025-09-24,Problème de paiement,Agence,5-10 min,< 24h,3,4,4,3,Partiellement,Information contradictoire
SVCLI-00098,CLI-83154,2025-07-17,Question sur contrat,Agence,5-10 min,3-7 jours,4,3,5,3,Oui,Prise en charge rapide
SVCLI-00099,CLI-20920,2025-09-13,Modification de contrat,Chat en ligne,> 20 min,3-7 jours,4,4,3,3,Oui,Disponibilité appréciée
SVCLI-00100,CLI-32104,2025-05-24,Question sur contrat,Email,5-10 min,3-7 jours,3,2,2,4,Partiellement,Problème non résolu
SVCLI-00101,CLI-54754,2025-06-18,Demande de devis,Application mobile,10-20 min,1-3 jours,5,5,5,5,Oui,Disponibilité appréciée
SVCLI-00102,CLI-25536,2025-04-28,Résiliation,Formulaire web,< 2 min,3-7 jours,5,4,5,5,Oui,Explications claires
SVCLI-00103,CLI-86088,2025-07-07,Question technique app/site,Agence,> 20 min,1-3 jours,2,2,2,3,Non,Pas de rappel comme promis
SVCLI-00104,CLI-22421,2025-10-05,Résiliation,Application mobile,< 2 min,3-7 jours,5,4,5,5,Oui,Problème résolu immédiatement
SVCLI-00105,CLI-39593,2025-08-23,Problème de paiement,Agence,> 20 min,Immédiat,4,3,5,3,Oui,Service de qualité
SVCLI-00106,CLI-26612,2025-10-11,Renouvellement,Application mobile,10-20 min,> 7 jours,4,4,5,3,Oui,Explications claires
SVCLI-00107,CLI-70220,2025-10-06,Suivi de dossier,Application mobile,10-20 min,3-7 jours,5,5,5,4,Oui,Professionnel et courtois
SVCLI-00108,CLI-42969,2025-05-13,Suivi de dossier,Chat en ligne,2-5 min,< 24h,2,1,1,1,Non,Service décevant
SVCLI-00109,CLI-23012,2025-05-30,Question technique app/site,Téléphone,< 2 min,> 7 jours,2,2,3,2,Non,Pas de rappel comme promis
SVCLI-00110,CLI-87850,2025-08-01,Résiliation,Téléphone,< 2 min,> 7 jours,5,4,5,5,Oui,Conseiller compétent
SVCLI-00111,CLI-34650,2025-07-12,Demande d'attestation,Téléphone,2-5 min,3-7 jours,2,2,2,1,Non,Problème non résolu
SVCLI-00112,CLI-52382,2025-05-27,Renouvellement,Agence,< 2 min,< 24h,2,1,1,2,Non,Information contradictoire
SVCLI-00113,CLI-97064,2025-06-30,Problème de paiement,Email,2-5 min,Immédiat,4,4,5,5,Oui,Disponibilité appréciée
SVCLI-00114,CLI-48779,2025-08-05,Modification de contrat,Email,2-5 min,Immédiat,2,1,3,2,Non,Réponse évasive
SVCLI-00115,CLI-82786,2025-09-13,Demande d'attestation,Chat en ligne,> 20 min,3-7 jours,3,4,3,2,Partiellement,Pas de rappel comme promis
SVCLI-00116,CLI-22153,2025-06-04,Réclamation,Agence,5-10 min,3-7 jours,4,4,3,4,Oui,Explications claires
SVCLI-00117,CLI-77031,2025-10-02,Question technique app/site,Formulaire web,< 2 min,> 7 jours,2,3,1,2,Non,Réponse évasive
SVCLI-00118,CLI-65609,2025-04-21,Suivi de dossier,Email,> 20 min,Immédiat,5,5,5,5,Oui,Conseiller très efficace et sympathique
SVCLI-00119,CLI-12168,2025-10-14,Question technique app/site,Agence,2-5 min,1-3 jours,3,4,3,3,Partiellement,Réponse évasive
SVCLI-00120,CLI-90887,2025-06-06,Renouvellement,Chat en ligne,> 20 min,< 24h,2,3,2,3,Non,Problème non résolu
SVCLI-00121,CLI-35383,2025-07-20,Renouvellement,Formulaire web,10-20 min,< 24h,5,5,5,5,Oui,Réponse rapide et précise
SVCLI-00122,CLI-14575,2025-06-22,Résiliation,Agence,< 2 min,Immédiat,2,1,3,3,Non,Réponse évasive
SVCLI-00123,CLI-20348,2025-06-02,Modification de contrat,Téléphone,10-20 min,< 24h,4,3,3,3,Oui,Explications claires
SVCLI-00124,CLI-11901,2025-07-06,Modification de contrat,Formulaire web,10-20 min,Immédiat,3,3,2,2,Partiellement,Transféré plusieurs fois
SVCLI-00125,CLI-77519,2025-08-04,Résiliation,Téléphone,5-10 min,< 24h,2,3,2,1,Non,Pas de rappel comme promis
SVCLI-00126,CLI-82877,2025-08-11,Information sur garanties,Email,10-20 min,1-3 jours,2,1,2,2,Non,Service décevant
SVCLI-00127,CLI-85877,2025-08-28,Résiliation,Application mobile,> 20 min,1-3 jours,4,5,5,4,Oui,Prise en charge rapide
SVCLI-00128,CLI-82925,2025-05-09,Information sur garanties,Formulaire web,< 2 min,> 7 jours,2,2,3,1,Non,Problème non résolu
SVCLI-00129,CLI-13541,2025-06-30,Problème de paiement,Application mobile,5-10 min,1-3 jours,3,4,4,3,Partiellement,Pas de rappel comme promis
SVCLI-00130,CLI-43319,2025-09-30,Problème de paiement,Formulaire web,> 20 min,> 7 jours,4,3,5,4,Oui,Réponse rapide et précise
SVCLI-00131,CLI-52129,2025-09-16,Demande d'attestation,Téléphone,< 2 min,< 24h,4,4,5,4,Oui,Conseiller très efficace et sympathique
SVCLI-00132,CLI-49981,2025-05-17,Réclamation,Agence,> 20 min,Immédiat,4,3,4,4,Oui,Problème résolu immédiatement
SVCLI-00133,CLI-46931,2025-07-14,Demande d'attestation,Chat en ligne,10-20 min,3-7 jours,4,5,3,3,Oui,Prise en charge rapide
SVCLI-00134,CLI-77920,2025-05-07,Question sur contrat,Email,< 2 min,1-3 jours,5,5,5,5,Oui,Professionnel et courtois
SVCLI-00135,CLI-30291,2025-07-08,Demande de devis,Email,2-5 min,3-7 jours,4,3,3,4,Oui,Professionnel et courtois
SVCLI-00136,CLI-58804,2025-05-01,Renouvellement,Chat en ligne,> 20 min,< 24h,2,3,3,3,Non,Pas de rappel comme promis
SVCLI-00137,CLI-21838,2025-06-26,Question technique app/site,Agence,< 2 min,Immédiat,5,5,5,4,Oui,Service de qualité
SVCLI-00138,CLI-54520,2025-08-20,Demande d'attestation,Email,< 2 min,> 7 jours,2,1,3,2,Non,Réponse évasive
SVCLI-00139,CLI-59568,2025-05-11,Demande de devis,Chat en ligne,10-20 min,1-3 jours,4,5,3,3,Oui,Conseiller compétent
SVCLI-00140,CLI-87732,2025-06-11,Réclamation,Chat en ligne,< 2 min,3-7 jours,5,4,5,5,Oui,Conseiller très efficace et sympathique
SVCLI-00141,CLI-74177,2025-07-28,Demande de devis,Email,< 2 min,1-3 jours,4,3,3,5,Oui,Conseiller très efficace et sympathique
SVCLI-00142,CLI-65097,2025-08-06,Question technique app/site,Agence,2-5 min,< 24h,4,3,3,3,Oui,Conseiller très efficace et sympathique
SVCLI-00143,CLI-58070,2025-07-24,Demande de devis,Email,< 2 min,< 24h,4,3,3,4,Oui,Explications claires
SVCLI-00144,CLI-38540,2025-10-10,Demande de devis,Chat en ligne,< 2 min,< 24h,3,2,4,3,Partiellement,Service décevant
SVCLI-00145,CLI-29341,2025-08-21,Question sur contrat,Téléphone,5-10 min,< 24h,4,5,3,3,Oui,Prise en charge rapide
SVCLI-00146,CLI-92818,2025-07-14,Information sur garanties,Application mobile,10-20 min,Immédiat,4,5,4,3,Oui,Professionnel et courtois
SVCLI-00147,CLI-83867,2025-07-14,Modification de contrat,Formulaire web,> 20 min,3-7 jours,5,5,4,5,Oui,Prise en charge rapide
SVCLI-00148,CLI-89902,2025-06-22,Question technique app/site,Téléphone,< 2 min,Immédiat,1,2,2,2,Non,Service décevant
SVCLI-00149,CLI-44540,2025-10-04,Renouvellement,Email,< 2 min,1-3 jours,4,4,5,5,Oui,Disponibilité appréciée
SVCLI-00150,CLI-46139,2025-04-28,Réclamation,Email,2-5 min,3-7 jours,5,5,5,5,Oui,Problème résolu immédiatement
SVCLI-00151,CLI-78495,2025-09-10,Question technique app/site,Formulaire web,> 20 min,> 7 jours,3,2,4,3,Partiellement,Information contradictoire
SVCLI-00152,CLI-61904,2025-10-14,Déclaration de sinistre,Chat en ligne,> 20 min,Immédiat,4,3,5,5,Oui,Réponse rapide et précise
SVCLI-00153,CLI-39849,2025-07-05,Question sur contrat,Téléphone,2-5 min,Immédiat,3,3,4,4,Partiellement,Toujours en attente de solution
SVCLI-00154,CLI-85505,2025-09-04,Demande d'attestation,Email,2-5 min,1-3 jours,3,3,2,4,Partiellement,Pas de rappel comme promis
SVCLI-00155,CLI-84000,2025-08-17,Déclaration de sinistre,Formulaire web,5-10 min,< 24h,3,4,3,3,Partiellement,Manque d'empathie
SVCLI-00156,CLI-91533,2025-08-05,Question sur contrat,Application mobile,10-20 min,> 7 jours,5,5,4,5,Oui,Professionnel et courtois
SVCLI-00157,CLI-27591,2025-08-12,Renouvellement,Application mobile,5-10 min,< 24h,2,3,2,2,Non,Transféré plusieurs fois
SVCLI-00158,CLI-83666,2025-08-28,Déclaration de sinistre,Chat en ligne,< 2 min,< 24h,5,5,5,5,Oui,Conseiller très efficace et sympathique
SVCLI-00159,CLI-55157,2025-05-13,Résiliation,Formulaire web,> 20 min,Immédiat,2,3,2,3,Non,Transféré plusieurs fois
SVCLI-00160,CLI-40888,2025-07-09,Modification de contrat,Application mobile,5-10 min,3-7 jours,5,4,5,5,Oui,Prise en charge rapide
SVCLI-00161,CLI-57562,2025-07-24,Demande de devis,Téléphone,10-20 min,< 24h,5,4,5,4,Oui,Professionnel et courtois
SVCLI-00162,CLI-67150,2025-05-04,Résiliation,Email,2-5 min,< 24h,4,5,5,4,Oui,Explications claires
SVCLI-00163,CLI-38746,2025-04-24,Modification de contrat,Email,> 20 min,< 24h,5,5,5,4,Oui,Réponse rapide et précise
SVCLI-00164,CLI-92573,2025-09-12,Renouvellement,Formulaire web,5-10 min,Immédiat,4,3,5,4,Oui,Prise en charge rapide
SVCLI-00165,CLI-56791,2025-06-20,Information sur garanties,Agence,< 2 min,Immédiat,5,5,5,4,Oui,Conseiller très efficace et sympathique
SVCLI-00166,CLI-64039,2025-07-14,Renouvellement,Email,> 20 min,3-7 jours,1,1,1,2,Non,Temps d'attente beaucoup trop long
