feedback_id,client_id,date_feedback,type_contrat,canal,note_globale,clarte_informations,facilite_processus,temps_traitement,qualite_accompagnement,rapport_qualite_prix,commentaire,recommanderait
SOUSCR-00001,CLI-70100,2025-07-14,Santé - Famille,Courtier,3,2,4,4,2,2,Prix plus élevé que la concurrence,Peut-être
SOUSCR-00002,CLI-43004,2025-06-12,Habitation - Locataire,Téléphone,4,5,5,3,5,4,Souscription en ligne très intuitive,Oui
SOUSCR-00003,CLI-21919,2025-09-05,Assurance emprunteur,En ligne,3,3,2,3,2,2,Pas assez d'explications sur les exclusions,Peut-être
SOUSCR-00004,CLI-79327,2025-05-17,Auto - Intermédiaire,Application mobile,4,3,5,4,5,3,Simplicité du parcours digital,Oui
SOUSCR-00005,CLI-73372,2025-10-12,Auto - Tous risques,En ligne,4,3,4,5,4,3,Documentation claire et complète,Oui
SOUSCR-00006,CLI-25984,2025-05-24,Assurance emprunteur,Agence,4,5,3,4,3,5,Conseiller très professionnel et à l'écoute,Oui
SOUSCR-00007,CLI-75060,2025-09-19,Auto - Intermédiaire,Agence,3,2,2,2,4,4,Difficultés techniques sur le site web,Peut-être
SOUSCR-00008,CLI-39445,2025-04-24,Responsabilité civile,Téléphone,3,2,2,3,3,4,Attente téléphonique trop longue,Peut-être
SOUSCR-00009,CLI-49986,2025-05-17,Santé - Famille,Application mobile,5,5,5,4,4,5,Prix compétitif,Oui
SOUSCR-00010,CLI-36649,2025-09-06,Assurance emprunteur,Application mobile,4,4,3,4,3,4,Je recommande vivement,Oui
SOUSCR-00011,CLI-74628,2025-07-25,Vie - Épargne,Application mobile,3,4,4,3,4,3,Prix plus élevé que la concurrence,Peut-être
SOUSCR-00012,CLI-17888,2025-08-26,Vie - Épargne,Application mobile,5,5,4,4,5,5,Souscription en ligne très intuitive,Oui
SOUSCR-00013,CLI-67152,2025-06-17,Santé - Famille,Application mobile,5,5,5,5,5,5,Excellent accueil en agence,Oui
SOUSCR-00014,CLI-12493,2025-10-07,Vie - Épargne,Téléphone,4,5,5,4,4,4,Conseiller patient et pédagogue,Oui
SOUSCR-00015,CLI-55583,2025-07-25,Vie - Décès,Courtier,3,2,4,2,3,3,Délai de traitement du dossier trop long,Peut-être
SOUSCR-00016,CLI-85016,2025-05-08,Vie - Épargne,Téléphone,4,5,5,4,5,5,Je recommande vivement,Oui
SOUSCR-00017,CLI-75759,2025-08-25,Auto - Au tiers,Courtier,2,3,3,1,2,1,Attente téléphonique trop longue,Non
SOUSCR-00018,CLI-57196,2025-07-18,Santé - Sénior,Téléphone,4,5,5,3,4,3,Excellent accueil en agence,Oui
SOUSCR-00019,CLI-42724,2025-08-30,Auto - Intermédiaire,Agence,5,4,4,5,5,5,Excellent accueil en agence,Oui
SOUSCR-00020,CLI-78147,2025-04-29,Santé - Individuelle,Téléphone,3,3,4,4,4,2,Formulaire en ligne compliqué,Peut-être
SOUSCR-00021,CLI-63914,2025-06-29,Auto - Tous risques,En ligne,3,3,4,3,4,3,Conseiller peu disponible,Peut-être
SOUSCR-00022,CLI-23012,2025-04-24,Auto - Intermédiaire,Agence,4,5,5,4,5,5,Processus très fluide et rapide,Oui
SOUSCR-00023,CLI-45777,2025-10-07,Habitation - Résidence secondaire,Courtier,4,3,3,4,5,3,Conseiller patient et pédagogue,Oui
SOUSCR-00024,CLI-16539,2025-08-15,Assurance emprunteur,Agence,3,3,3,3,4,3,Manque d'informations claires sur les garanties,Peut-être
SOUSCR-00025,CLI-75491,2025-08-04,Santé - Famille,Téléphone,3,3,2,3,2,4,Formulaire en ligne compliqué,Peut-être
SOUSCR-00026,CLI-45414,2025-07-04,Habitation - Locataire,Application mobile,5,5,5,5,4,5,Je recommande vivement,Oui
SOUSCR-00027,CLI-94718,2025-06-24,Santé - Sénior,Courtier,4,3,3,4,3,3,Souscription en ligne très intuitive,Oui
SOUSCR-00028,CLI-94825,2025-10-12,Vie - Décès,Application mobile,5,5,5,5,5,4,Documentation claire et complète,Oui
SOUSCR-00029,CLI-20465,2025-07-04,Habitation - Résidence secondaire,Courtier,5,4,5,5,4,5,Simplicité du parcours digital,Oui
SOUSCR-00030,CLI-98485,2025-10-18,Auto - Tous risques,Agence,3,2,3,3,3,2,Formulaire en ligne compliqué,Peut-être
SOUSCR-00031,CLI-95933,2025-05-16,Habitation - Locataire,Application mobile,3,3,2,3,2,2,Difficultés techniques sur le site web,Peut-être
SOUSCR-00032,CLI-45561,2025-10-12,Auto - Intermédiaire,Courtier,3,3,2,4,3,4,Manque d'informations claires sur les garanties,Peut-être
SOUSCR-00033,CLI-12655,2025-07-15,Habitation - Locataire,Téléphone,1,1,1,1,2,1,Conseiller peu disponible,Non
SOUSCR-00034,CLI-66321,2025-09-24,Santé - Famille,En ligne,5,5,4,5,5,5,Conseiller très professionnel et à l'écoute,Oui
SOUSCR-00035,CLI-86346,2025-08-31,Santé - Individuelle,Courtier,3,2,2,4,4,2,Manque d'informations claires sur les garanties,Peut-être
SOUSCR-00036,CLI-27490,2025-08-05,Santé - Individuelle,Agence,4,5,4,3,5,5,Simplicité du parcours digital,Oui
SOUSCR-00037,CLI-65918,2025-09-24,Vie - Décès,Courtier,4,5,5,5,4,5,Conseiller très professionnel et à l'écoute,Oui
SOUSCR-00038,CLI-44029,2025-08-24,Vie - Décès,Courtier,4,3,5,5,5,4,Souscription en ligne très intuitive,Oui
SOUSCR-00039,CLI-51457,2025-08-20,Vie - Décès,Agence,3,2,2,4,2,4,Manque d'informations claires sur les garanties,Peut-être
SOUSCR-00040,CLI-60837,2025-07-16,Vie - Décès,Courtier,5,5,5,5,4,4,Réponse rapide à mes questions,Oui
SOUSCR-00041,CLI-33813,2025-05-12,Santé - Sénior,Courtier,2,3,1,3,1,3,Processus trop long et complexe,Non
SOUSCR-00042,CLI-67846,2025-06-02,Responsabilité civile,Application mobile,5,5,5,5,5,4,Conseiller patient et pédagogue,Oui
SOUSCR-00043,CLI-66024,2025-05-14,Assurance emprunteur,Téléphone,3,3,4,2,3,4,Processus trop long et complexe,Peut-être
SOUSCR-00044,CLI-88030,2025-07-10,Santé - Famille,Application mobile,4,3,3,4,5,3,Souscription en ligne très intuitive,Oui
SOUSCR-00045,CLI-43739,2025-07-20,Responsabilité civile,Agence,4,5,3,5,5,4,Je recommande vivement,Oui
SOUSCR-00046,CLI-10292,2025-07-08,Protection juridique,Téléphone,4,5,4,3,5,3,Réponse rapide à mes questions,Oui
SOUSCR-00047,CLI-62908,2025-05-14,Santé - Individuelle,En ligne,5,5,5,5,5,5,Documentation claire et complète,Oui
SOUSCR-00048,CLI-21204,2025-06-19,Auto - Intermédiaire,Application mobile,4,5,3,4,5,3,Je recommande vivement,Oui
SOUSCR-00049,CLI-68037,2025-05-10,Assurance emprunteur,Agence,1,2,2,1,2,1,Manque d'informations claires sur les garanties,Non
SOUSCR-00050,CLI-87873,2025-07-10,Protection juridique,Courtier,4,3,3,3,4,3,Conseiller patient et pédagogue,Oui
SOUSCR-00051,CLI-15560,2025-05-07,Auto - Au tiers,En ligne,5,5,5,5,5,4,Souscription en ligne très intuitive,Oui
SOUSCR-00052,CLI-33787,2025-06-22,Habitation - Résidence secondaire,Courtier,5,5,5,5,5,5,Souscription en ligne très intuitive,Oui
SOUSCR-00053,CLI-21442,2025-05-15,Auto - Intermédiaire,Courtier,4,3,3,3,5,4,Souscription en ligne très intuitive,Oui
SOUSCR-00054,CLI-42175,2025-06-18,Habitation - Résidence secondaire,En ligne,2,3,3,2,1,2,Processus trop long et complexe,Non
SOUSCR-00055,CLI-65814,2025-10-13,Auto - Intermédiaire,Application mobile,4,3,3,4,5,3,Je recommande vivement,Oui
SOUSCR-00056,CLI-79117,2025-07-25,Auto - Intermédiaire,Application mobile,4,3,3,3,3,5,Simplicité du parcours digital,Oui
SOUSCR-00057,CLI-10564,2025-06-23,Auto - Tous risques,Application mobile,3,2,2,3,2,4,Pièces justificatives demandées excessives,Peut-être
SOUSCR-00058,CLI-49994,2025-08-01,Santé - Sénior,Agence,2,3,3,2,2,1,Formulaire en ligne compliqué,Non
SOUSCR-00059,CLI-59522,2025-07-10,Auto - Tous risques,Agence,3,2,2,3,3,3,Formulaire en ligne compliqué,Peut-être
SOUSCR-00060,CLI-71087,2025-08-12,Protection juridique,Agence,5,4,4,5,5,5,Réponse rapide à mes questions,Oui
SOUSCR-00061,CLI-32346,2025-08-05,Auto - Intermédiaire,Agence,4,5,3,3,4,3,Souscription en ligne très intuitive,Oui
SOUSCR-00062,CLI-24144,2025-09-12,Auto - Tous risques,Application mobile,3,3,2,2,2,4,Processus trop long et complexe,Peut-être
SOUSCR-00063,CLI-22822,2025-08-10,Vie - Épargne,Téléphone,1,2,2,1,1,1,Attente téléphonique trop longue,Non
SOUSCR-00064,CLI-97710,2025-06-23,Santé - Sénior,En ligne,5,5,4,5,5,4,Réponse rapide à mes questions,Oui
SOUSCR-00065,CLI-30002,2025-10-06,Vie - Décès,Courtier,5,5,5,5,5,4,Réponse rapide à mes questions,Oui
SOUSCR-00066,CLI-29489,2025-09-03,Vie - Décès,Courtier,1,1,2,1,2,1,Formulaire en ligne compliqué,Non
SOUSCR-00067,CLI-42664,2025-05-26,Protection juridique,Agence,3,3,4,4,3,4,Délai de traitement du dossier trop long,Peut-être
SOUSCR-00068,CLI-91202,2025-05-31,Santé - Famille,Courtier,5,4,5,5,4,5,Prix compétitif,Oui
SOUSCR-00069,CLI-32679,2025-05-10,Responsabilité civile,Téléphone,2,3,1,2,2,2,Pièces justificatives demandées excessives,Non
SOUSCR-00070,CLI-48039,2025-06-27,Responsabilité civile,Téléphone,4,3,3,4,3,4,Documentation claire et complète,Oui
SOUSCR-00071,CLI-15476,2025-08-22,Habitation - Locataire,Agence,4,3,4,4,3,3,Processus très fluide et rapide,Oui
SOUSCR-00072,CLI-64652,2025-09-09,Habitation - Locataire,Agence,4,3,3,5,5,5,Souscription en ligne très intuitive,Oui
SOUSCR-00073,CLI-79373,2025-05-04,Santé - Famille,Courtier,3,3,4,4,2,4,Difficultés techniques sur le site web,Peut-être
SOUSCR-00074,CLI-30768,2025-07-20,Protection juridique,En ligne,4,3,3,5,5,4,Conseiller patient et pédagogue,Oui
SOUSCR-00075,CLI-36512,2025-09-28,Santé - Famille,Courtier,4,4,3,3,5,3,Documentation claire et complète,Oui
SOUSCR-00076,CLI-94374,2025-09-04,Habitation - Propriétaire,Courtier,1,2,1,1,1,2,Attente téléphonique trop longue,Non
SOUSCR-00077,CLI-32981,2025-07-15,Santé - Famille,Courtier,3,4,3,3,3,2,Processus trop long et complexe,Peut-être
SOUSCR-00078,CLI-53640,2025-10-03,Habitation - Propriétaire,En ligne,4,3,5,5,4,5,Documentation claire et complète,Oui
SOUSCR-00079,CLI-72150,2025-06-20,Habitation - Locataire,Courtier,5,5,4,4,4,5,Processus très fluide et rapide,Oui
SOUSCR-00080,CLI-85062,2025-05-12,Santé - Individuelle,Agence,5,4,5,4,5,5,Conseiller patient et pédagogue,Oui
SOUSCR-00081,CLI-33705,2025-05-29,Protection juridique,Téléphone,4,4,3,4,5,4,Documentation claire et complète,Oui
SOUSCR-00082,CLI-31148,2025-07-16,Santé - Individuelle,En ligne,5,4,4,4,5,5,Je recommande vivement,Oui
SOUSCR-00083,CLI-70328,2025-06-17,Assurance emprunteur,En ligne,3,4,2,4,4,3,Processus trop long et complexe,Peut-être
SOUSCR-00084,CLI-80102,2025-09-28,Auto - Intermédiaire,Application mobile,4,5,5,5,3,5,Processus très fluide et rapide,Oui
SOUSCR-00085,CLI-69898,2025-07-25,Responsabilité civile,En ligne,4,5,3,3,5,3,Souscription en ligne très intuitive,Oui
SOUSCR-00086,CLI-84311,2025-06-23,Habitation - Résidence secondaire,Téléphone,3,2,4,4,3,2,Processus trop long et complexe,Peut-être
SOUSCR-00087,CLI-87549,2025-07-12,Responsabilité civile,Application mobile,4,3,5,3,4,5,Conseiller patient et pédagogue,Oui
SOUSCR-00088,CLI-99109,2025-08-23,Habitation - Résidence secondaire,Agence,5,5,5,5,5,5,Simplicité du parcours digital,Oui
SOUSCR-00089,CLI-33956,2025-05-02,Vie - Décès,Agence,5,4,4,5,4,4,Simplicité du parcours digital,Oui
SOUSCR-00090,CLI-88365,2025-08-19,Protection juridique,En ligne,5,5,5,5,4,5,Documentation claire et complète,Oui
SOUSCR-00091,CLI-12494,2025-09-04,Protection juridique,En ligne,4,3,3,5,4,3,Réponse rapide à mes questions,Oui
SOUSCR-00092,CLI-59320,2025-08-30,Vie - Épargne,En ligne,3,4,3,2,2,2,Processus trop long et complexe,Peut-être
SOUSCR-00093,CLI-38253,2025-07-31,Vie - Épargne,Application mobile,4,5,3,3,5,5,Prix compétitif,Oui
SOUSCR-00094,CLI-25362,2025-04-21,Auto - Tous risques,Application mobile,4,5,4,4,4,3,Souscription en ligne très intuitive,Oui
SOUSCR-00095,CLI-16537,2025-05-01,Habitation - Résidence secondaire,Courtier,4,4,3,4,3,3,Réponse rapide à mes questions,Oui
SOUSCR-00096,CLI-69257,2025-09-26,Protection juridique,Courtier,5,4,4,5,5,5,Je recommande vivement,Oui
SOUSCR-00097,CLI-87095,2025-06-25,Habitation - Locataire,Téléphone,3,2,3,4,2,4,Processus trop long et complexe,Peut-être
SOUSCR-00098,CLI-30163,2025-08-10,Habitation - Résidence secondaire,En ligne,2,3,1,3,3,3,Pas assez d'explications sur les exclusions,Non
SOUSCR-00099,CLI-76420,2025-10-10,Santé - Sénior,Courtier,2,1,2,3,2,2,Prix plus élevé que la concurrence,Non
SOUSCR-00100,CLI-70025,2025-05-15,Auto - Intermédiaire,Application mobile,1,2,1,1,2,1,Pas assez d'explications sur les exclusions,Non
SOUSCR-00101,CLI-73754,2025-10-16,Santé - Individuelle,Téléphone,4,4,3,3,3,4,Documentation claire et complète,Oui
SOUSCR-00102,CLI-23515,2025-09-02,Habitation - Propriétaire,Courtier,5,5,5,5,5,5,Je recommande vivement,Oui
SOUSCR-00103,CLI-42287,2025-05-25,Habitation - Propriétaire,Courtier,4,4,5,4,3,5,Processus très fluide et rapide,Oui
SOUSCR-00104,CLI-80217,2025-08-15,Assurance emprunteur,Application mobile,5,4,5,5,5,5,Simplicité du parcours digital,Oui
SOUSCR-00105,CLI-65209,2025-07-13,Protection juridique,Application mobile,5,5,5,5,4,5,Conseiller très professionnel et à l'écoute,Oui
SOUSCR-00106,CLI-26742,2025-10-09,Habitation - Résidence secondaire,Courtier,4,5,5,5,3,3,Excellent accueil en agence,Oui
SOUSCR-00107,CLI-33913,2025-05-20,Responsabilité civile,Application mobile,3,3,4,4,2,2,Processus trop long et complexe,Peut-être
SOUSCR-00108,CLI-97582,2025-08-10,Habitation - Résidence secondaire,Agence,5,5,5,5,5,5,Simplicité du parcours digital,Oui
SOUSCR-00109,CLI-21936,2025-09-13,Protection juridique,Téléphone,5,5,4,4,5,5,Prix compétitif,Oui
SOUSCR-00110,CLI-22077,2025-07-24,Protection juridique,Agence,4,4,5,4,3,4,Simplicité du parcours digital,Oui
SOUSCR-00111,CLI-45555,2025-09-25,Vie - Décès,Courtier,5,5,5,4,5,5,Excellent accueil en agence,Oui
SOUSCR-00112,CLI-21008,2025-07-15,Santé - Famille,Courtier,5,4,5,5,5,4,Prix compétitif,Oui
SOUSCR-00113,CLI-43739,2025-07-18,Vie - Décès,Agence,2,1,1,2,1,1,Conseiller peu disponible,Non
SOUSCR-00114,CLI-69144,2025-05-08,Vie - Épargne,En ligne,1,1,2,1,1,2,Formulaire en ligne compliqué,Non
SOUSCR-00115,CLI-99005,2025-09-23,Habitation - Résidence secondaire,Application mobile,2,2,1,1,3,2,Pièces justificatives demandées excessives,Non
SOUSCR-00116,CLI-32791,2025-05-04,Habitation - Résidence secondaire,Application mobile,5,5,4,5,4,5,Documentation claire et complète,Oui
SOUSCR-00117,CLI-90840,2025-06-24,Santé - Famille,Courtier,4,3,3,5,4,3,Documentation claire et complète,Oui
SOUSCR-00118,CLI-50966,2025-09-26,Santé - Sénior,Courtier,4,4,3,3,5,3,Prix compétitif,Oui
SOUSCR-00119,CLI-29462,2025-09-13,Habitation - Propriétaire,Agence,3,4,3,3,2,4,Conseiller peu disponible,Peut-être
SOUSCR-00120,CLI-20717,2025-07-28,Santé - Sénior,Agence,3,4,2,4,3,2,Délai de traitement du dossier trop long,Peut-être
SOUSCR-00121,CLI-78217,2025-07-03,Santé - Famille,En ligne,2,2,1,2,2,3,Conseiller peu disponible,Non
SOUSCR-00122,CLI-92378,2025-05-19,Habitation - Résidence secondaire,Application mobile,4,4,3,5,3,4,Conseiller très professionnel et à l'écoute,Oui
SOUSCR-00123,CLI-44668,2025-04-29,Vie - Décès,Application mobile,2,1,2,1,1,1,Difficultés techniques sur le site web,Non
SOUSCR-00124,CLI-99181,2025-06-27,Vie - Décès,Courtier,5,4,4,5,5,5,Réponse rapide à mes questions,Oui
SOUSCR-00125,CLI-95345,2025-07-16,Auto - Tous risques,Courtier,4,4,4,3,3,3,Conseiller très professionnel et à l'écoute,Oui
SOUSCR-00126,CLI-15995,2025-10-05,Habitation - Propriétaire,Téléphone,5,5,5,5,5,5,Conseiller patient et pédagogue,Oui
SOUSCR-00127,CLI-32441,2025-08-23,Habitation - Locataire,Agence,5,4,5,4,4,5,Réponse rapide à mes questions,Oui
SOUSCR-00128,CLI-21889,2025-07-12,Responsabilité civile,Téléphone,5,5,4,5,5,4,Prix compétitif,Oui
SOUSCR-00129,CLI-73863,2025-04-21,Habitation - Propriétaire,Agence,4,3,3,5,3,4,Excellent accueil en agence,Oui
SOUSCR-00130,CLI-94887,2025-07-01,Vie - Épargne,Téléphone,3,4,3,4,2,4,Prix plus élevé que la concurrence,Peut-être
SOUSCR-00131,CLI-32305,2025-09-29,Responsabilité civile,Application mobile,5,4,5,4,4,5,Documentation claire et complète,Oui
SOUSCR-00132,CLI-10440,2025-07-29,Habitation - Locataire,En ligne,5,4,5,5,4,5,Conseiller patient et pédagogue,Oui
SOUSCR-00133,CLI-86162,2025-09-11,Auto - Tous risques,Agence,2,2,3,2,1,3,Délai de traitement du dossier trop long,Non
SOUSCR-00134,CLI-91386,2025-06-25,Protection juridique,Application mobile,5,5,5,5,5,5,Documentation claire et complète,Oui
SOUSCR-00135,CLI-79724,2025-08-06,Assurance emprunteur,Téléphone,4,3,3,5,4,5,Conseiller très professionnel et à l'écoute,Oui
SOUSCR-00136,CLI-48571,2025-07-13,Habitation - Locataire,Courtier,4,5,5,4,4,3,Conseiller très professionnel et à l'écoute,Oui
SOUSCR-00137,CLI-22813,2025-10-07,Auto - Au tiers,Application mobile,4,4,3,5,5,3,Conseiller patient et pédagogue,Oui
SOUSCR-00138,CLI-18397,2025-04-21,Auto - Tous risques,Application mobile,4,4,4,3,3,5,Excellent accueil en agence,Oui
SOUSCR-00139,CLI-91318,2025-05-17,Santé - Sénior,Courtier,5,5,5,5,5,5,Documentation claire et complète,Oui
SOUSCR-00140,CLI-61787,2025-09-25,Vie - Épargne,Téléphone,2,1,3,3,2,2,Prix plus élevé que la concurrence,Non
SOUSCR-00141,CLI-31863,2025-05-23,Responsabilité civile,Courtier,4,4,5,3,3,4,Processus très fluide et rapide,Oui
SOUSCR-00142,CLI-63323,2025-07-24,Auto - Au tiers,En ligne,4,4,4,4,5,3,Conseiller patient et pédagogue,Oui
SOUSCR-00143,CLI-88397,2025-08-30,Auto - Au tiers,Agence,5,5,5,5,5,4,Simplicité du parcours digital,Oui
SOUSCR-00144,CLI-17283,2025-06-24,Auto - Au tiers,Téléphone,3,2,2,4,4,3,Prix plus élevé que la concurrence,Peut-être
SOUSCR-00145,CLI-55271,2025-09-11,Habitation - Résidence secondaire,En ligne,4,3,4,3,5,5,Souscription en ligne très intuitive,Oui
SOUSCR-00146,CLI-85975,2025-07-30,Vie - Épargne,Courtier,4,5,3,4,5,5,Processus très fluide et rapide,Oui
SOUSCR-00147,CLI-32169,2025-08-03,Habitation - Résidence secondaire,Agence,3,2,2,3,2,2,Formulaire en ligne compliqué,Peut-être
SOUSCR-00148,CLI-40599,2025-09-28,Vie - Décès,Agence,5,5,4,5,5,5,Je recommande vivement,Oui
SOUSCR-00149,CLI-66872,2025-09-07,Vie - Épargne,En ligne,5,5,5,4,5,5,Conseiller patient et pédagogue,Oui
SOUSCR-00150,CLI-76238,2025-06-14,Habitation - Propriétaire,Application mobile,4,3,5,5,5,3,Prix compétitif,Oui
SOUSCR-00151,CLI-22159,2025-06-10,Habitation - Propriétaire,Téléphone,3,3,4,4,4,4,Prix plus élevé que la concurrence,Peut-être
SOUSCR-00152,CLI-18048,2025-04-28,Vie - Épargne,Application mobile,2,3,3,2,1,3,Difficultés techniques sur le site web,Non
SOUSCR-00153,CLI-57870,2025-05-06,Santé - Famille,Téléphone,4,5,5,4,4,4,Simplicité du parcours digital,Oui
SOUSCR-00154,CLI-25753,2025-05-13,Vie - Épargne,Agence,4,5,3,4,5,3,Excellent accueil en agence,Oui
SOUSCR-00155,CLI-83518,2025-07-28,Auto - Tous risques,Agence,5,4,5,5,5,5,Je recommande vivement,Oui
SOUSCR-00156,CLI-93862,2025-07-12,Santé - Sénior,Application mobile,4,3,5,4,5,5,Excellent accueil en agence,Oui
SOUSCR-00157,CLI-44903,2025-06-13,Auto - Tous risques,En ligne,4,5,5,4,3,5,Prix compétitif,Oui
SOUSCR-00158,CLI-63934,2025-09-07,Auto - Intermédiaire,Courtier,5,5,4,4,4,5,Je recommande vivement,Oui
SOUSCR-00159,CLI-32538,2025-09-22,Auto - Au tiers,En ligne,4,4,3,3,5,3,Souscription en ligne très intuitive,Oui
SOUSCR-00160,CLI-39986,2025-05-23,Santé - Individuelle,En ligne,5,5,5,5,4,4,Je recommande vivement,Oui
SOUSCR-00161,CLI-50708,2025-08-04,Santé - Famille,Courtier,5,5,5,5,5,4,Réponse rapide à mes questions,Oui
SOUSCR-00162,CLI-16807,2025-04-25,Habitation - Propriétaire,En ligne,4,3,4,3,4,5,Je recommande vivement,Oui
SOUSCR-00163,CLI-14043,2025-05-01,Santé - Individuelle,Téléphone,3,2,2,2,4,3,Difficultés techniques sur le site web,Peut-être
SOUSCR-00164,CLI-98849,2025-05-17,Protection juridique,Téléphone,5,5,4,4,5,5,Excellent accueil en agence,Oui
SOUSCR-00165,CLI-35444,2025-04-23,Habitation - Locataire,Agence,3,2,3,4,4,3,Pièces justificatives demandées excessives,Peut-être
